Week_End_Date,Year,Quarter,Year_Quarter,Year_Month,Week_Number,Fiscal_Year_Label
2024-01-07,2024,Q1,2024-Q1,2024-01,1,FY24
2024-01-14,2024,Q1,2024-Q1,2024-01,2,FY24
2024-01-21,2024,Q1,2024-Q1,2024-01,3,FY24
2024-01-28,2024,Q1,2024-Q1,2024-01,4,FY24
2024-02-04,2024,Q1,2024-Q1,2024-02,5,FY24
2024-02-11,2024,Q1,2024-Q1,2024-02,6,FY24
2024-02-18,2024,Q1,2024-Q1,2024-02,7,FY24
2024-02-25,2024,Q1,2024-Q1,2024-02,8,FY24
2024-03-03,2024,Q1,2024-Q1,2024-03,9,FY24
2024-03-10,2024,Q1,2024-Q1,2024-03,10,FY24
2024-03-17,2024,Q1,2024-Q1,2024-03,11,FY24
2024-03-24,2024,Q1,2024-Q1,2024-03,12,FY24
2024-03-31,2024,Q1,2024-Q1,2024-03,13,FY24
2024-04-07,2024,Q2,2024-Q2,2024-04,14,FY24
2024-04-14,2024,Q2,2024-Q2,2024-04,15,FY24
2024-04-21,2024,Q2,2024-Q2,2024-04,16,FY24
2024-04-28,2024,Q2,2024-Q2,2024-04,17,FY24
2024-05-05,2024,Q2,2024-Q2,2024-05,18,FY24
2024-05-12,2024,Q2,2024-Q2,2024-05,19,FY24
2024-05-19,2024,Q2,2024-Q2,2024-05,20,FY24
2024-05-26,2024,Q2,2024-Q2,2024-05,21,FY24
2024-06-02,2024,Q2,2024-Q2,2024-06,22,FY24
2024-06-09,2024,Q2,2024-Q2,2024-06,23,FY24
2024-06-16,2024,Q2,2024-Q2,2024-06,24,FY24
2024-06-23,2024,Q2,2024-Q2,2024-06,25,FY24
2024-06-30,2024,Q2,2024-Q2,2024-06,26,FY24
2024-07-07,2024,Q3,2024-Q3,2024-07,27,FY24
2024-07-14,2024,Q3,2024-Q3,2024-07,28,FY24
2024-07-21,2024,Q3,2024-Q3,2024-07,29,FY24
2024-07-28,2024,Q3,2024-Q3,2024-07,30,FY24
2024-08-04,2024,Q3,2024-Q3,2024-08,31,FY24
2024-08-11,2024,Q3,2024-Q3,2024-08,32,FY24
2024-08-18,2024,Q3,2024-Q3,2024-08,33,FY24
2024-08-25,2024,Q3,2024-Q3,2024-08,34,FY24
2024-09-01,2024,Q3,2024-Q3,2024-09,35,FY24
2024-09-08,2024,Q3,2024-Q3,2024-09,36,FY24
2024-09-15,2024,Q3,2024-Q3,2024-09,37,FY24
2024-09-22,2024,Q3,2024-Q3,2024-09,38,FY24
2024-09-29,2024,Q3,2024-Q3,2024-09,39,FY24
2024-10-06,2024,Q4,2024-Q4,2024-10,40,FY24
2024-10-13,2024,Q4,2024-Q4,2024-10,41,FY24
2024-10-20,2024,Q4,2024-Q4,2024-10,42,FY24
2024-10-27,2024,Q4,2024-Q4,2024-10,43,FY24
2024-11-03,2024,Q4,2024-Q4,2024-11,44,FY24
2024-11-10,2024,Q4,2024-Q4,2024-11,45,FY24
2024-11-17,2024,Q4,2024-Q4,2024-11,46,FY24
2024-11-24,2024,Q4,2024-Q4,2024-11,47,FY24
2024-12-01,2024,Q4,2024-Q4,2024-12,48,FY24
2024-12-08,2024,Q4,2024-Q4,2024-12,49,FY24
2024-12-15,2024,Q4,2024-Q4,2024-12,50,FY24
2024-12-22,2024,Q4,2024-Q4,2024-12,51,FY24
2024-12-29,2024,Q4,2024-Q4,2024-12,52,FY24
2025-01-05,2025,Q1,2025-Q1,2025-01,1,FY25
