SKU,Corp_Inv_Units_TY,Corp_Inv_Units_LY,Retail_Inv_Units_TY,Retail_Inv_Units_LY,YTD_POS_TY,YTD_POS_LY,YTD_POS_Change_Pct,R8_POS_TY,R8_POS_LY,R8_POS_Change_Pct,YTD_Lost_Sales_Pct,Vendor_Fill_Rate_Pct,Ship_Units_TY,Ship_Units_LY,DDF_Units
AL-LED-001,3352,3888,1785,1790,2331,2247,3.7,873,836,4.4,1.6,93.0,2836,2542,825
AL-LED-002,3864,3938,1212,969,4187,3609,16.0,1450,1147,26.4,2.5,92.4,4696,4177,1298
AL-LED-003,2738,2917,1195,1252,3186,2783,14.5,1032,838,23.2,2.4,92.9,3419,3584,776
AL-LED-004,686,662,412,433,1540,157,880.9,453,44,929.5,5.9,79.0,1691,192,475
AL-LED-005,309,365,498,501,1588,94,1589.4,445,33,1248.5,7.3,70.5,1687,104,603
AL-LED-006,524,569,486,486,3007,71,4135.2,1042,26,3907.7,13.0,79.8,3781,84,1124
AL-LED-007,483,432,492,480,2446,12,20283.3,748,3,24833.3,11.3,77.6,3004,13,629
AL-LED-008,356,331,461,454,1915,96,1894.8,565,30,1783.3,10.4,66.3,2040,120,498
AL-HAL-001,7716,7094,3558,3401,3305,3972,-16.8,931,1461,-36.3,2.4,95.3,4206,5000,963
AL-HAL-002,5235,5588,3785,4236,2786,3400,-18.1,1030,1117,-7.8,1.3,95.4,3429,4284,1002
AL-HAL-003,3222,3172,2343,1921,6095,6442,-5.4,2259,2185,3.4,0.8,96.5,6977,7104,1497
AL-HAL-004,5066,5145,5419,6502,2637,3019,-12.7,936,1096,-14.6,0.5,92.6,2999,3660,880
AL-HAL-005,3166,3380,4544,4660,8050,9636,-16.5,3018,2890,4.4,0.8,93.1,8891,11802,2720
AL-HAL-006,4341,5085,5951,6131,4402,5727,-23.1,1561,1669,-6.5,1.7,94.2,5621,6550,1775
AL-HAL-007,5470,6118,5482,5626,3992,5956,-33.0,1449,1812,-20.0,2.1,96.8,4232,7047,1385
AL-MIN-001,2807,3246,932,916,10264,11350,-9.6,2886,3654,-21.0,2.8,90.2,11169,12417,3370
AL-MIN-002,2704,2511,2284,2051,5000,5198,-3.8,1859,1858,0.1,4.0,94.9,6418,5820,1410
AL-MIN-003,2824,3160,1831,1714,10174,9560,6.4,3528,2998,17.7,2.1,87.2,12921,11713,2510
AL-MIN-004,2801,2964,2774,2763,1978,45,4295.6,570,15,3700.0,4.5,94.1,2469,48,538
AL-MIN-005,2974,2772,1908,2062,11421,10478,9.0,3862,3429,12.6,4.7,90.1,12765,11660,2535
AL-MIN-006,1558,1697,1284,1528,9619,9820,-2.0,3208,3498,-8.3,3.4,87.6,11361,11005,2303
AL-MIN-007,2987,3050,1018,1098,4157,4135,0.5,1238,1163,6.4,5.9,88.3,4496,5239,1307
AL-SB-001,1555,1314,710,586,1403,1510,-7.1,458,489,-6.3,5.3,88.0,1645,1803,437
AL-SB-002,1816,1885,985,1031,771,927,-16.8,289,267,8.2,3.1,91.7,959,1061,307
AL-SB-003,1046,1155,2997,3147,1976,2275,-13.1,638,766,-16.7,1.5,96.5,2205,2434,515
AL-SB-004,2724,2487,1692,1935,1870,1982,-5.7,599,691,-13.3,2.4,85.4,1996,2196,474
AL-HA-001,1270,1150,2730,2339,496,442,12.2,178,132,34.8,1.7,87.7,528,551,148
AL-HA-002,2045,2039,2148,1787,683,696,-1.9,221,227,-2.6,3.5,96.3,723,805,171
AL-HA-003,3156,3373,2904,2636,669,581,15.1,251,211,19.0,6.0,96.4,709,719,205
AL-HA-004,3400,3275,2514,2334,438,43,918.6,130,14,828.6,3.4,96.6,471,46,120
AL-HA-005,950,804,2362,2619,406,22,1745.5,129,7,1742.9,2.3,86.1,514,27,84
AL-HA-006,3350,2952,2541,2591,674,565,19.3,192,187,2.7,4.8,92.5,864,655,211
AL-HA-007,1448,1212,1772,2120,659,772,-14.6,224,234,-4.3,3.8,91.6,842,899,162
KS-AFR-001,947,1089,1188,963,5889,3940,49.5,1811,1191,52.1,3.8,87.2,6834,4537,774
KS-AFR-002,1582,47,470,29,3398,235,1346.0,1137,71,1501.4,13.7,72.7,3868,275,206
KS-AFR-003,2241,1668,2141,2107,7264,6234,16.5,2650,2122,24.9,4.2,93.0,8507,7228,747
KS-BLN-001,518,630,926,664,3160,2661,18.8,899,806,11.5,3.3,88.5,3455,2826,248
KS-BLN-002,2121,2180,2789,2099,4864,5711,-14.8,1677,1947,-13.9,1.1,96.4,5232,6621,355
KS-CKW-001,639,459,678,604,2335,2265,3.1,661,706,-6.4,3.3,92.2,2546,2450,316
KS-CKW-002,610,1026,922,731,3258,3337,-2.4,1095,1022,7.1,1.1,89.8,3707,3953,300
OL-PFR-001,383,353,261,330,1313,1103,19.0,423,316,33.9,4.4,90.8,1454,1323,134
OL-PFR-002,351,449,388,603,852,1399,-39.1,248,453,-45.3,1.3,94.2,953,1669,111
OL-PFR-003,675,849,912,1450,4558,4319,5.5,1346,1539,-12.5,3.2,94.8,5155,5039,467
OL-BBQ-001,514,521,427,534,1911,1881,1.6,703,705,-0.3,2.4,90.9,2031,2112,125
OL-BBQ-002,1025,816,910,915,3552,3271,8.6,1070,1092,-2.0,1.3,90.6,4119,3533,302
OL-BBQ-003,701,19,158,11,1448,85,1603.5,439,26,1588.5,11.4,71.0,1536,97,113
OL-SLR-001,1478,1859,2367,1897,8650,7330,18.0,2916,2399,21.6,4.6,91.7,10101,8584,651
OL-SLR-002,2444,81,863,68,7075,476,1386.3,2266,149,1420.8,13.4,74.2,8343,518,532
CA-TNT-001,626,369,616,490,2338,2123,10.1,666,807,-17.5,2.0,89.4,2748,2538,314
CA-TNT-002,577,13,199,9,1142,75,1422.7,350,27,1196.3,8.4,81.6,1277,84,156
CA-SLP-001,572,925,699,716,3322,3157,5.2,1179,902,30.7,2.5,93.7,3779,3553,426
CA-SLP-002,1266,964,1719,971,2640,2824,-6.5,974,860,13.3,1.2,94.0,3007,3228,247
CA-CLR-001,547,514,385,341,1805,1497,20.6,560,466,20.2,2.9,93.5,2099,1588,174
CA-CLR-002,1121,1064,823,1291,2126,3172,-33.0,674,938,-28.1,0.7,95.7,2498,3665,232
CA-CLR-003,2693,58,1025,63,6547,432,1415.5,1909,126,1415.1,9.9,80.7,7418,471,710
