SKU,Season,YTD_TY_POS,YTD_LY_POS,YTD_TY_Ship,YTD_LY_Ship,Retail_Inv_TY,Corp_Inv_TY,Current_POS_Forecast,Current_Ship_Forecast,Open_PO_Qty,Planned_Purchase_Qty,Weeks_of_Supply
AL-LED-001,S3 Spring,2616,2275,3309,2736,1319,3703,6892,8249,599,2070,10.4
AL-LED-002,S3 Spring,4058,4116,4879,5407,3739,871,10677,12476,949,1592,13.5
AL-LED-003,S3 Spring,3103,2964,3521,3377,2604,4311,8692,9708,1091,1613,8.7
AL-LED-004,S3 Spring,1672,145,2223,190,3056,2256,4293,4658,2182,1178,4.3
AL-LED-005,S3 Spring,1657,98,1929,131,3445,1546,4432,4678,2557,3417,4.3
AL-LED-006,S3 Spring,2811,71,3035,93,262,1480,7965,9145,1132,1306,4.9
AL-LED-007,S3 Spring,2542,11,3197,13,3688,2991,6557,7730,2056,2297,5.5
AL-LED-008,S3 Spring,1913,104,2319,128,1161,2654,5105,5932,2277,1403,6.0
AL-HAL-001,S3 Spring,3268,3407,3594,3883,318,676,8174,8651,183,767,17.2
AL-HAL-002,S3 Spring,2548,3173,3196,3503,917,946,7229,8005,349,493,18.0
AL-HAL-003,S3 Spring,5689,6090,7062,7234,2931,376,15794,17685,147,1387,18.6
AL-HAL-004,S3 Spring,2323,3336,3127,3802,1937,2348,6662,7297,196,1747,17.8
AL-HAL-005,S3 Spring,7459,9331,9118,12576,1409,479,22315,25634,140,16,18.8
AL-HAL-006,S3 Spring,4843,5867,5156,7227,2234,2644,12976,14072,410,721,14.6
AL-HAL-007,S3 Spring,3986,5592,5088,7159,2988,1420,11458,13583,330,80,15.7
AL-MIN-001,S3 Spring,11017,11213,13988,12076,1408,2976,30726,33071,370,2409,13.0
AL-MIN-002,S3 Spring,4748,5092,5373,5597,3943,4247,13844,15149,1882,1587,12.4
AL-MIN-003,S3 Spring,9674,8711,12346,9736,2970,3555,27678,32402,849,569,12.3
AL-MIN-004,S3 Spring,1980,42,2349,52,2953,2447,5854,6868,860,643,11.4
AL-MIN-005,S3 Spring,10979,11097,14634,12743,2698,2113,30018,34379,1050,1437,11.2
AL-MIN-006,S3 Spring,9478,9678,10057,13053,675,1096,26072,29477,895,2058,9.0
AL-MIN-007,S3 Spring,4762,4506,5771,5525,3176,1565,12383,14218,1807,2204,10.9
AL-SB-001,S3 Spring,1418,1431,1782,1595,2021,2234,3680,3918,1504,1704,10.4
AL-SB-002,S3 Spring,895,855,1046,946,700,4025,2061,2229,1409,2645,13.8
AL-SB-003,S3 Spring,1884,2171,2537,2792,1040,862,5725,6487,1300,1084,12.5
AL-SB-004,S3 Spring,1763,2220,2268,2727,1335,1485,5286,5978,1735,914,6.9
AL-HA-001,S3 Spring,502,405,581,521,2611,2952,1165,1269,359,1924,10.2
AL-HA-002,S3 Spring,674,644,865,775,646,4002,1718,2047,188,2898,10.2
AL-HA-003,S3 Spring,695,681,742,812,1845,3792,1917,2153,1963,2016,6.6
AL-HA-004,S3 Spring,394,41,421,46,2793,4792,1170,1295,1323,2373,8.4
