SKU,TY_POS_Units,LY_POS_Units,TY_POS_Dollars,LY_POS_Dollars,TY_RVS,LY_RVS,TY_EGM_Dollars,LY_EGM_Dollars,TY_EGM_Pct,LY_EGM_Pct,QTD_POS_Dollars,YTD_POS_Dollars,R12_POS_Dollars
AL-LED-001,6410,5912,362233.72,332621.14,365660.03,334972.1,157680.34,133979.8,43.53,40.28,44115.66,137480.2,360382.67
AL-LED-002,10770,9931,655080.91,627338.08,656258.52,620322.95,278671.42,267810.63,42.54,42.69,110282.32,229576.32,654410.95
AL-LED-003,8050,7276,441154.26,378872.57,433967.78,372760.85,190225.72,158330.85,43.12,41.79,72253.97,179328.76,438843.5
AL-LED-004,4145,387,279712.0,26716.47,281038.06,27103.01,119492.97,11367.86,42.72,42.55,37390.19,98796.43,265329.47
AL-LED-005,4327,238,308390.71,17067.19,312512.17,16836.89,130264.24,7274.04,42.24,42.62,49654.87,123087.19,286748.93
AL-LED-006,7875,175,523818.75,11101.93,521293.01,11319.32,225242.06,4677.24,43.0,42.13,89348.35,208439.53,514630.86
AL-LED-007,6084,32,289568.82,1480.18,294354.07,1484.16,124514.59,602.58,43.0,40.71,50118.86,111468.41,281337.59
AL-LED-008,4643,271,261746.41,15686.81,259262.35,15739.89,113964.39,6486.5,43.54,41.35,47075.68,95629.69,252091.55
AL-HAL-001,8185,9543,190680.71,222453.4,192057.28,223311.26,90859.36,106088.03,47.65,47.69,25758.07,72985.61,191816.33
AL-HAL-002,6942,8376,128940.65,165892.99,130234.58,167675.34,61491.8,77472.03,47.69,46.7,15497.99,46556.73,129762.2
AL-HAL-003,14559,16630,328337.49,367265.7,323168.29,369106.44,161246.54,173496.32,49.11,47.24,46766.69,119489.82,330948.64
AL-HAL-004,6541,8018,119131.82,141443.53,118478.89,144189.35,58660.51,65672.23,49.24,46.43,18351.23,43704.82,120776.18
AL-HAL-005,20348,23924,345103.64,391273.53,339937.58,393773.78,173207.52,182255.21,50.19,46.58,53972.7,133533.42,345235.27
AL-HAL-006,12169,14591,254730.11,312428.79,253440.37,317422.83,122703.49,145623.06,48.17,46.61,30889.1,90297.19,256789.16
AL-HAL-007,10973,15216,192790.39,253126.24,189454.35,248381.77,91671.83,120108.4,47.55,47.45,28749.84,71234.78,195014.45
AL-MIN-001,28929,28711,271498.76,274729.82,270489.44,270271.79,140500.61,136787.98,51.75,49.79,46651.69,102837.53,271743.24
AL-MIN-002,12642,13224,98813.34,103974.21,97268.96,102691.54,51175.43,51321.67,51.79,49.36,14600.43,35853.84,98865.16
AL-MIN-003,25275,24520,224604.05,204526.62,225970.94,204858.67,111426.07,100033.97,49.61,48.91,30137.99,90459.19,223650.64
AL-MIN-004,5642,109,83913.52,1524.72,82242.48,1518.04,41981.93,746.35,50.03,48.95,13576.83,31045.27,82137.25
AL-MIN-005,28667,28211,233388.0,223989.09,230752.59,220033.29,120871.65,108276.33,51.79,48.34,28708.72,86809.21,232994.59
AL-MIN-006,26464,27403,237164.87,228223.59,234184.42,229091.16,123396.88,112970.68,52.03,49.5,41128.48,84998.01,236625.69
AL-MIN-007,11436,11302,81675.91,81832.54,81750.34,83255.46,40903.3,41963.73,50.08,51.28,11740.68,29951.21,81680.02
AL-SB-001,3413,3872,50145.28,53734.82,50061.61,54806.19,26571.98,26131.24,52.99,48.63,6815.35,18299.06,50164.45
AL-SB-002,2139,2281,38570.84,40397.53,39085.75,40726.43,18934.43,20154.33,49.09,49.89,4646.61,15265.5,38597.57
AL-SB-003,5329,5816,68885.51,70317.51,67825.85,69212.22,34029.44,33435.98,49.4,47.55,11232.25,27026.41,68976.75
AL-SB-004,4814,5493,78443.23,92619.3,79529.21,91108.86,38397.96,44068.26,48.95,47.58,13042.53,27474.6,78854.77
AL-HA-001,1224,1130,177003.28,161728.65,173531.68,158980.84,73420.96,66454.3,41.48,41.09,30103.96,68711.14,176493.12
AL-HA-002,1676,1680,269136.89,283275.26,272324.79,287362.38,112553.05,110732.3,41.82,39.09,33956.36,98898.95,269385.59
AL-HA-003,1821,1632,339037.9,308222.24,335467.66,304061.26,139276.77,118850.5,41.08,38.56,44333.15,128448.11,338851.74
AL-HA-004,1108,105,166871.12,16513.2,164255.22,16759.03,69518.51,6455.01,41.66,39.09,24633.21,67943.42,158513.52
AL-HA-005,1056,58,170356.12,9494.28,169185.85,9632.65,71123.68,3709.42,41.75,39.07,24527.99,67274.27,170113.54
AL-HA-006,1642,1478,213595.52,206415.28,210849.26,210234.25,85117.81,79717.58,39.85,38.62,34968.3,81255.89,213201.28
AL-HA-007,1839,1847,282735.1,267718.26,277582.38,267033.52,114790.45,109577.08,40.6,40.93,49878.94,112551.19,282419.19
KS-AFR-001,14520,10340,1903244.51,1305790.71,1917995.21,1315234.33,814588.65,524927.87,42.8,40.2,231739.73,779300.31,1933101.05
KS-AFR-002,8760,580,1708493.58,115450.8,1717545.13,116280.47,761988.14,49412.94,44.6,42.8,172210.96,683763.41,1687912.22
KS-AFR-003,18930,16240,1527828.1,1302540.44,1538835.19,1316728.57,614186.9,505385.69,40.2,38.8,157796.99,630041.5,1546517.67
KS-BLN-001,7840,6520,1189901.38,968561.33,1197700.94,982675.33,514037.4,402921.51,43.2,41.6,120085.32,468183.1,1170706.67
KS-BLN-002,12450,13680,635351.82,688119.26,643656.68,696581.28,243975.1,269742.75,38.4,39.2,81139.66,255061.43,632264.88
KS-CKW-001,5680,5820,1139490.11,1186946.27,1152235.53,1203109.0,462632.98,477152.4,40.6,40.2,137484.19,459321.72,1118788.97
KS-CKW-002,8340,8560,1230494.01,1267689.93,1237628.32,1276979.45,489736.62,512146.73,39.8,40.4,127334.87,472558.99,1237172.37
OL-PFR-001,3240,2680,2892318.9,2393186.0,2912840.11,2411541.21,1116435.1,880692.45,38.6,36.8,356634.04,1207445.33,2904944.57
OL-PFR-002,2180,3450,1602717.33,2623036.96,1613349.8,2646105.4,580183.67,991507.97,36.2,37.8,198244.04,672469.63,1606368.3
OL-PFR-003,11240,10680,1477271.86,1416851.94,1496121.85,1427181.47,582045.11,546904.85,39.4,38.6,153252.78,563260.14,1463547.47
OL-BBQ-001,4870,4920,2632004.2,2777860.31,2668230.25,2800490.92,915937.46,950028.23,34.8,34.2,296901.31,1069166.29,2675647.84
OL-BBQ-002,8560,8240,1280744.56,1218482.28,1290306.95,1231414.86,463629.53,433779.69,36.2,35.6,145502.15,500143.13,1301124.94
OL-BBQ-003,3680,210,1645967.86,92906.48,1670616.85,93844.4,697890.37,37348.4,42.4,40.2,159945.91,631453.15,1620267.66
OL-SLR-001,22450,17560,904640.58,714530.72,912982.81,718557.3,436036.76,331542.25,48.2,46.4,114326.13,357572.55,905694.1
OL-SLR-002,16870,1240,520231.3,37992.59,522892.18,38456.37,263237.04,18312.43,50.6,48.2,60932.34,211873.78,515379.11
CA-TNT-001,5640,5280,1421868.49,1289183.36,1435159.62,1301478.61,594341.03,523408.44,41.8,40.6,185091.69,594558.06,1408411.3
CA-TNT-002,2890,180,1011506.67,61783.54,1025795.49,62630.29,447085.95,26319.79,44.2,42.6,116843.63,396447.69,1015915.63
CA-SLP-001,8240,7860,968122.96,957976.17,978185.43,970225.11,410484.14,394686.18,42.4,41.2,97121.71,388424.63,961313.42
CA-SLP-002,6780,7340,592541.24,677532.46,600710.74,686554.93,240571.74,283208.57,40.6,41.8,59056.11,232454.26,601500.69
CA-CLR-001,4560,3680,1170524.52,897092.19,1182065.78,902198.55,510348.69,374984.54,43.6,41.8,145856.96,480411.46,1153125.44
CA-CLR-002,5120,7640,408941.42,612949.77,412070.05,621362.1,150490.44,235372.71,36.8,38.4,42986.35,162319.28,409584.21
CA-CLR-003,15680,1120,715175.4,49485.28,720980.6,50225.16,330411.03,21773.52,46.2,44.0,81493.83,290357.72,715678.19
HO-SHL-001,12560,10480,1104572.24,927517.0,1113829.5,937611.25,561122.7,450773.26,50.8,48.6,114103.22,429904.59,1085617.47
HO-SHL-002,9870,10240,696235.27,705041.59,706020.3,714627.59,335585.4,344060.3,48.2,48.8,71076.37,266542.74,700941.2
HO-BIN-001,28560,26340,982180.36,901304.11,996279.7,910957.47,536270.48,475888.57,54.6,52.8,119468.5,391798.46,994261.06
HO-BIN-002,21340,20890,628098.59,611339.94,633946.51,616986.14,329123.66,315451.41,52.4,51.6,75382.54,250410.97,632454.19
HO-CLO-001,4680,320,963142.56,62454.8,971836.09,62978.98,468087.28,28854.12,48.6,46.2,106745.97,399190.71,951207.64
HO-CLO-002,16780,15420,668963.28,613755.52,674171.46,618357.5,335819.57,299512.69,50.2,48.8,78379.41,278911.28,678632.45
FR-DWB-001,6540,7820,1311883.93,1521751.12,1331552.78,1542082.13,506387.2,611743.95,38.6,40.2,172964.99,549364.32,1330181.86
FR-DWB-002,3240,4560,952507.51,1366775.86,959306.01,1379091.06,346712.73,530309.03,36.4,38.8,100707.91,364186.88,970997.92
FR-YGA-001,18920,16340,839219.1,747666.44,847233.71,754567.46,404503.61,346917.23,48.2,46.4,112220.08,351039.23,841091.17
FR-YGA-002,14560,12870,516130.54,440994.16,520242.59,447471.08,241549.09,196683.4,46.8,44.6,59919.39,208086.91,521250.05
FR-YGA-003,21340,1480,622982.1,44609.37,629229.68,45212.81,313982.98,21501.72,50.4,48.2,76349.3,240656.31,612518.78
FR-BKE-001,3890,4120,1717464.03,1864530.27,1737647.88,1878238.37,656071.26,723437.74,38.2,38.8,206403.73,660872.37,1700029.39
FR-BKE-002,1240,85,1870535.87,128412.41,1887730.3,129803.98,763178.63,49310.37,40.8,38.4,236546.52,749918.98,1848408.12
