date,year,quarter,month_num,day,year_month,year_quarter,day_name,month_name,iso_week,is_weekend
2022-01-01,2022,1,1,1,2022-01,2022-Q1,Saturday,January,52,Yes
2022-01-02,2022,1,1,2,2022-01,2022-Q1,Sunday,January,52,Yes
2022-01-03,2022,1,1,3,2022-01,2022-Q1,Monday,January,1,No
2022-01-04,2022,1,1,4,2022-01,2022-Q1,Tuesday,January,1,No
2022-01-05,2022,1,1,5,2022-01,2022-Q1,Wednesday,January,1,No
2022-01-06,2022,1,1,6,2022-01,2022-Q1,Thursday,January,1,No
2022-01-07,2022,1,1,7,2022-01,2022-Q1,Friday,January,1,No
2022-01-08,2022,1,1,8,2022-01,2022-Q1,Saturday,January,1,Yes
2022-01-09,2022,1,1,9,2022-01,2022-Q1,Sunday,January,1,Yes
2022-01-10,2022,1,1,10,2022-01,2022-Q1,Monday,January,2,No
2022-01-11,2022,1,1,11,2022-01,2022-Q1,Tuesday,January,2,No
2022-01-12,2022,1,1,12,2022-01,2022-Q1,Wednesday,January,2,No
2022-01-13,2022,1,1,13,2022-01,2022-Q1,Thursday,January,2,No
2022-01-14,2022,1,1,14,2022-01,2022-Q1,Friday,January,2,No
2022-01-15,2022,1,1,15,2022-01,2022-Q1,Saturday,January,2,Yes
2022-01-16,2022,1,1,16,2022-01,2022-Q1,Sunday,January,2,Yes
2022-01-17,2022,1,1,17,2022-01,2022-Q1,Monday,January,3,No
2022-01-18,2022,1,1,18,2022-01,2022-Q1,Tuesday,January,3,No
2022-01-19,2022,1,1,19,2022-01,2022-Q1,Wednesday,January,3,No
2022-01-20,2022,1,1,20,2022-01,2022-Q1,Thursday,January,3,No
2022-01-21,2022,1,1,21,2022-01,2022-Q1,Friday,January,3,No
2022-01-22,2022,1,1,22,2022-01,2022-Q1,Saturday,January,3,Yes
2022-01-23,2022,1,1,23,2022-01,2022-Q1,Sunday,January,3,Yes
2022-01-24,2022,1,1,24,2022-01,2022-Q1,Monday,January,4,No
2022-01-25,2022,1,1,25,2022-01,2022-Q1,Tuesday,January,4,No
2022-01-26,2022,1,1,26,2022-01,2022-Q1,Wednesday,January,4,No
2022-01-27,2022,1,1,27,2022-01,2022-Q1,Thursday,January,4,No
2022-01-28,2022,1,1,28,2022-01,2022-Q1,Friday,January,4,No
2022-01-29,2022,1,1,29,2022-01,2022-Q1,Saturday,January,4,Yes
2022-01-30,2022,1,1,30,2022-01,2022-Q1,Sunday,January,4,Yes
2022-01-31,2022,1,1,31,2022-01,2022-Q1,Monday,January,5,No
2022-02-01,2022,1,2,1,2022-02,2022-Q1,Tuesday,February,5,No
2022-02-02,2022,1,2,2,2022-02,2022-Q1,Wednesday,February,5,No
2022-02-03,2022,1,2,3,2022-02,2022-Q1,Thursday,February,5,No
2022-02-04,2022,1,2,4,2022-02,2022-Q1,Friday,February,5,No
2022-02-05,2022,1,2,5,2022-02,2022-Q1,Saturday,February,5,Yes
2022-02-06,2022,1,2,6,2022-02,2022-Q1,Sunday,February,5,Yes
2022-02-07,2022,1,2,7,2022-02,2022-Q1,Monday,February,6,No
2022-02-08,2022,1,2,8,2022-02,2022-Q1,Tuesday,February,6,No
2022-02-09,2022,1,2,9,2022-02,2022-Q1,Wednesday,February,6,No
2022-02-10,2022,1,2,10,2022-02,2022-Q1,Thursday,February,6,No
2022-02-11,2022,1,2,11,2022-02,2022-Q1,Friday,February,6,No
2022-02-12,2022,1,2,12,2022-02,2022-Q1,Saturday,February,6,Yes
2022-02-13,2022,1,2,13,2022-02,2022-Q1,Sunday,February,6,Yes
2022-02-14,2022,1,2,14,2022-02,2022-Q1,Monday,February,7,No
2022-02-15,2022,1,2,15,2022-02,2022-Q1,Tuesday,February,7,No
2022-02-16,2022,1,2,16,2022-02,2022-Q1,Wednesday,February,7,No
2022-02-17,2022,1,2,17,2022-02,2022-Q1,Thursday,February,7,No
2022-02-18,2022,1,2,18,2022-02,2022-Q1,Friday,February,7,No
2022-02-19,2022,1,2,19,2022-02,2022-Q1,Saturday,February,7,Yes
2022-02-20,2022,1,2,20,2022-02,2022-Q1,Sunday,February,7,Yes
2022-02-21,2022,1,2,21,2022-02,2022-Q1,Monday,February,8,No
2022-02-22,2022,1,2,22,2022-02,2022-Q1,Tuesday,February,8,No
2022-02-23,2022,1,2,23,2022-02,2022-Q1,Wednesday,February,8,No
2022-02-24,2022,1,2,24,2022-02,2022-Q1,Thursday,February,8,No
2022-02-25,2022,1,2,25,2022-02,2022-Q1,Friday,February,8,No
2022-02-26,2022,1,2,26,2022-02,2022-Q1,Saturday,February,8,Yes
2022-02-27,2022,1,2,27,2022-02,2022-Q1,Sunday,February,8,Yes
2022-02-28,2022,1,2,28,2022-02,2022-Q1,Monday,February,9,No
2022-03-01,2022,1,3,1,2022-03,2022-Q1,Tuesday,March,9,No
2022-03-02,2022,1,3,2,2022-03,2022-Q1,Wednesday,March,9,No
2022-03-03,2022,1,3,3,2022-03,2022-Q1,Thursday,March,9,No
2022-03-04,2022,1,3,4,2022-03,2022-Q1,Friday,March,9,No
2022-03-05,2022,1,3,5,2022-03,2022-Q1,Saturday,March,9,Yes
2022-03-06,2022,1,3,6,2022-03,2022-Q1,Sunday,March,9,Yes
2022-03-07,2022,1,3,7,2022-03,2022-Q1,Monday,March,10,No
2022-03-08,2022,1,3,8,2022-03,2022-Q1,Tuesday,March,10,No
2022-03-09,2022,1,3,9,2022-03,2022-Q1,Wednesday,March,10,No
2022-03-10,2022,1,3,10,2022-03,2022-Q1,Thursday,March,10,No
2022-03-11,2022,1,3,11,2022-03,2022-Q1,Friday,March,10,No
2022-03-12,2022,1,3,12,2022-03,2022-Q1,Saturday,March,10,Yes
2022-03-13,2022,1,3,13,2022-03,2022-Q1,Sunday,March,10,Yes
2022-03-14,2022,1,3,14,2022-03,2022-Q1,Monday,March,11,No
2022-03-15,2022,1,3,15,2022-03,2022-Q1,Tuesday,March,11,No
2022-03-16,2022,1,3,16,2022-03,2022-Q1,Wednesday,March,11,No
2022-03-17,2022,1,3,17,2022-03,2022-Q1,Thursday,March,11,No
2022-03-18,2022,1,3,18,2022-03,2022-Q1,Friday,March,11,No
2022-03-19,2022,1,3,19,2022-03,2022-Q1,Saturday,March,11,Yes
2022-03-20,2022,1,3,20,2022-03,2022-Q1,Sunday,March,11,Yes
2022-03-21,2022,1,3,21,2022-03,2022-Q1,Monday,March,12,No
2022-03-22,2022,1,3,22,2022-03,2022-Q1,Tuesday,March,12,No
2022-03-23,2022,1,3,23,2022-03,2022-Q1,Wednesday,March,12,No
2022-03-24,2022,1,3,24,2022-03,2022-Q1,Thursday,March,12,No
2022-03-25,2022,1,3,25,2022-03,2022-Q1,Friday,March,12,No
2022-03-26,2022,1,3,26,2022-03,2022-Q1,Saturday,March,12,Yes
2022-03-27,2022,1,3,27,2022-03,2022-Q1,Sunday,March,12,Yes
2022-03-28,2022,1,3,28,2022-03,2022-Q1,Monday,March,13,No
2022-03-29,2022,1,3,29,2022-03,2022-Q1,Tuesday,March,13,No
2022-03-30,2022,1,3,30,2022-03,2022-Q1,Wednesday,March,13,No
2022-03-31,2022,1,3,31,2022-03,2022-Q1,Thursday,March,13,No
2022-04-01,2022,2,4,1,2022-04,2022-Q2,Friday,April,13,No
2022-04-02,2022,2,4,2,2022-04,2022-Q2,Saturday,April,13,Yes
2022-04-03,2022,2,4,3,2022-04,2022-Q2,Sunday,April,13,Yes
2022-04-04,2022,2,4,4,2022-04,2022-Q2,Monday,April,14,No
2022-04-05,2022,2,4,5,2022-04,2022-Q2,Tuesday,April,14,No
2022-04-06,2022,2,4,6,2022-04,2022-Q2,Wednesday,April,14,No
2022-04-07,2022,2,4,7,2022-04,2022-Q2,Thursday,April,14,No
2022-04-08,2022,2,4,8,2022-04,2022-Q2,Friday,April,14,No
2022-04-09,2022,2,4,9,2022-04,2022-Q2,Saturday,April,14,Yes
2022-04-10,2022,2,4,10,2022-04,2022-Q2,Sunday,April,14,Yes
2022-04-11,2022,2,4,11,2022-04,2022-Q2,Monday,April,15,No
2022-04-12,2022,2,4,12,2022-04,2022-Q2,Tuesday,April,15,No
2022-04-13,2022,2,4,13,2022-04,2022-Q2,Wednesday,April,15,No
2022-04-14,2022,2,4,14,2022-04,2022-Q2,Thursday,April,15,No
2022-04-15,2022,2,4,15,2022-04,2022-Q2,Friday,April,15,No
2022-04-16,2022,2,4,16,2022-04,2022-Q2,Saturday,April,15,Yes
2022-04-17,2022,2,4,17,2022-04,2022-Q2,Sunday,April,15,Yes
2022-04-18,2022,2,4,18,2022-04,2022-Q2,Monday,April,16,No
2022-04-19,2022,2,4,19,2022-04,2022-Q2,Tuesday,April,16,No
2022-04-20,2022,2,4,20,2022-04,2022-Q2,Wednesday,April,16,No
2022-04-21,2022,2,4,21,2022-04,2022-Q2,Thursday,April,16,No
2022-04-22,2022,2,4,22,2022-04,2022-Q2,Friday,April,16,No
2022-04-23,2022,2,4,23,2022-04,2022-Q2,Saturday,April,16,Yes
2022-04-24,2022,2,4,24,2022-04,2022-Q2,Sunday,April,16,Yes
2022-04-25,2022,2,4,25,2022-04,2022-Q2,Monday,April,17,No
2022-04-26,2022,2,4,26,2022-04,2022-Q2,Tuesday,April,17,No
2022-04-27,2022,2,4,27,2022-04,2022-Q2,Wednesday,April,17,No
2022-04-28,2022,2,4,28,2022-04,2022-Q2,Thursday,April,17,No
