attestation_record_id,employee_id,attestation_type,attestation_name,is_mandatory,due_date,completed_date,status,days_overdue,department_id
ATR-000001,EMP-00001,ATT-COI,Conflict of Interest,Yes,2026-03-26,2026-03-15,Completed,0,DPT-006
ATR-000002,EMP-00001,ATT-COC,Code of Conduct Attestation,Yes,2025-10-29,2025-10-11,Completed,0,DPT-006
ATR-000003,EMP-00001,ATT-PRV,Privacy & Data Handling,Yes,2026-02-08,2026-01-22,Completed,0,DPT-006
ATR-000004,EMP-00001,ATT-INS,Insider Trading Window,Yes,2025-12-07,,Overdue,168,DPT-006
ATR-000005,EMP-00003,ATT-COI,Conflict of Interest,Yes,2025-11-30,2025-11-10,Completed,0,DPT-011
ATR-000006,EMP-00003,ATT-COC,Code of Conduct Attestation,Yes,2025-10-08,2025-10-01,Completed,0,DPT-011
ATR-000007,EMP-00003,ATT-PRV,Privacy & Data Handling,Yes,2025-11-13,2025-11-09,Completed,0,DPT-011
ATR-000008,EMP-00003,ATT-INS,Insider Trading Window,Yes,2026-03-12,2026-03-04,Completed,0,DPT-011
ATR-000009,EMP-00004,ATT-COI,Conflict of Interest,Yes,2026-01-22,2026-01-03,Completed,0,DPT-021
ATR-000010,EMP-00004,ATT-COC,Code of Conduct Attestation,Yes,2025-12-04,2025-12-01,Completed,0,DPT-021
ATR-000011,EMP-00004,ATT-PRV,Privacy & Data Handling,Yes,2025-09-06,2025-08-21,Completed,0,DPT-021
ATR-000012,EMP-00004,ATT-INS,Insider Trading Window,Yes,2025-11-27,2025-11-26,Completed,0,DPT-021
ATR-000013,EMP-00006,ATT-COI,Conflict of Interest,Yes,2025-10-07,2025-09-27,Completed,0,DPT-025
ATR-000014,EMP-00006,ATT-COC,Code of Conduct Attestation,Yes,2026-05-06,2026-04-18,Completed,0,DPT-025
ATR-000015,EMP-00006,ATT-PRV,Privacy & Data Handling,Yes,2025-08-26,2025-08-09,Completed,0,DPT-025
ATR-000016,EMP-00006,ATT-INS,Insider Trading Window,Yes,2026-05-11,2026-04-21,Completed,0,DPT-025
ATR-000017,EMP-00009,ATT-COI,Conflict of Interest,Yes,2025-11-28,2025-11-14,Completed,0,DPT-008
ATR-000018,EMP-00009,ATT-COC,Code of Conduct Attestation,Yes,2025-08-07,2025-08-06,Completed,0,DPT-008
ATR-000019,EMP-00009,ATT-PRV,Privacy & Data Handling,Yes,2026-05-04,2026-04-24,Completed,0,DPT-008
ATR-000020,EMP-00009,ATT-INS,Insider Trading Window,Yes,2026-04-18,2026-03-30,Completed,0,DPT-008
