attrition_id,employee_id,termination_date,termination_type,termination_reason,regrettable,tenure_days,tenure_months,exit_interview_score,department_id,role_id,location_id,manager_id
TRM-00001,EMP-00002,2022-12-13,Voluntary,Return to study,No,753,24.7,3.4,DPT-009,ROL-036,LOC-001,EMP-00006
TRM-00002,EMP-00005,2026-02-28,Voluntary,Manager / culture,No,2366,77.7,2.6,DPT-023,ROL-039,LOC-001,EMP-00006
TRM-00003,EMP-00007,2025-04-04,Voluntary,Better opportunity - growth/scope,Yes,684,22.5,2.8,DPT-001,ROL-003,LOC-007,
TRM-00004,EMP-00008,2026-01-16,Voluntary,Retirement,No,485,15.9,3.5,DPT-004,ROL-003,LOC-004,
TRM-00005,EMP-00011,2026-03-02,Involuntary,Performance,No,2043,67.1,2.7,DPT-006,ROL-025,LOC-001,
TRM-00006,EMP-00027,2025-02-12,Voluntary,Better opportunity - higher comp,No,405,13.3,2.6,DPT-006,ROL-003,LOC-001,
TRM-00007,EMP-00028,2025-11-15,Voluntary,Manager / culture,No,384,12.6,3.9,DPT-001,ROL-003,LOC-005,
TRM-00008,EMP-00039,2025-09-08,Involuntary,Performance,No,311,10.2,3.5,DPT-018,ROL-017,LOC-002,
TRM-00009,EMP-00046,2026-03-29,Voluntary,Retirement,No,572,18.8,3.1,DPT-023,ROL-024,LOC-001,
TRM-00010,EMP-00047,2026-01-10,Voluntary,Other voluntary,No,618,20.3,3.4,DPT-007,ROL-003,LOC-001,
TRM-00011,EMP-00053,2025-08-24,Voluntary,Manager / culture,No,491,16.1,3.7,DPT-020,ROL-032,LOC-004,
TRM-00012,EMP-00056,2024-02-24,Voluntary,Relocation / personal,No,832,27.3,4.6,DPT-014,ROL-014,LOC-001,
TRM-00013,EMP-00059,2024-01-30,Voluntary,Manager / culture,Yes,270,8.9,2.1,DPT-021,ROL-022,LOC-001,
TRM-00014,EMP-00069,2024-07-04,Voluntary,Better opportunity - growth/scope,No,811,26.6,3.0,DPT-021,ROL-024,LOC-004,
TRM-00015,EMP-00078,2024-10-03,Voluntary,Manager / culture,No,388,12.7,4.0,DPT-020,ROL-016,LOC-004,
TRM-00016,EMP-00097,2025-12-30,Voluntary,Retirement,Yes,591,19.4,2.9,DPT-001,ROL-003,LOC-001,
TRM-00017,EMP-00099,2025-02-04,Voluntary,Career change,No,626,20.6,3.7,DPT-019,ROL-017,LOC-002,
TRM-00018,EMP-00101,2025-10-06,Involuntary,Role eliminated,No,772,25.4,4.7,DPT-020,ROL-019,LOC-004,
TRM-00019,EMP-00103,2022-06-25,Voluntary,Manager / culture,No,696,22.9,3.9,DPT-011,ROL-026,LOC-001,
TRM-00020,EMP-00113,2025-12-27,Voluntary,Better opportunity - growth/scope,Yes,577,19.0,2.7,DPT-004,ROL-025,LOC-004,
TRM-00021,EMP-00115,2025-07-07,Voluntary,Better opportunity - growth/scope,Yes,643,21.1,3.2,DPT-006,ROL-004,LOC-004,
TRM-00022,EMP-00120,2026-02-06,Voluntary,Better opportunity - higher comp,Yes,1022,33.6,2.5,DPT-020,ROL-026,LOC-001,
