comp_action_id,employee_id,effective_date,action_type,previous_base_salary,new_base_salary,bonus_target_pct,equity_grant_cad,department_id,role_id
CMP-000001,EMP-00001,2020-11-15,Hire,443000,502000,0.55,753000,DPT-006,ROL-035
CMP-000002,EMP-00002,2020-11-20,Hire,435000,499000,0.55,748500,DPT-009,ROL-036
CMP-000003,EMP-00002,2021-06-21,Promotion,499000,585298,0.55,0,DPT-009,ROL-036
CMP-000004,EMP-00002,2022-07-14,Equity Refresh,499000,499000,0.55,415279,DPT-009,ROL-036
CMP-000005,EMP-00002,2022-12-13,Termination,499000,0,0,0,DPT-009,ROL-036
CMP-000006,EMP-00003,2021-04-28,Hire,434000,497000,0.55,745500,DPT-011,ROL-037
CMP-000007,EMP-00003,2022-05-17,Promotion,497000,578902,0.55,0,DPT-011,ROL-037
CMP-000008,EMP-00004,2020-05-11,Hire,464000,519000,0.55,778500,DPT-021,ROL-038
CMP-000009,EMP-00004,2021-03-19,Annual Adjustment,519000,548626,0.55,0,DPT-021,ROL-038
CMP-000010,EMP-00004,2021-09-21,Equity Refresh,519000,519000,0.55,804758,DPT-021,ROL-038
CMP-000011,EMP-00004,2022-04-24,Annual Adjustment,519000,541463,0.55,0,DPT-021,ROL-038
CMP-000012,EMP-00005,2019-09-07,Hire,358000,416000,0.55,624000,DPT-023,ROL-039
CMP-000013,EMP-00005,2026-02-28,Termination,416000,0,0,0,DPT-023,ROL-039
CMP-000014,EMP-00006,2020-11-27,Hire,663000,773000,0.85,1159500,DPT-025,ROL-040
CMP-000015,EMP-00006,2021-09-03,Annual Adjustment,773000,812459,0.85,0,DPT-025,ROL-040
CMP-000016,EMP-00006,2022-06-08,Annual Adjustment,773000,807172,0.85,0,DPT-025,ROL-040
CMP-000017,EMP-00006,2023-03-13,Annual Adjustment,773000,806402,0.85,0,DPT-025,ROL-040
CMP-000018,EMP-00007,2023-05-21,Hire,124000,136000,0.1,27200,DPT-001,ROL-003
CMP-000019,EMP-00007,2023-12-18,Equity Refresh,136000,136000,0.1,28618,DPT-001,ROL-003
CMP-000020,EMP-00007,2025-04-04,Termination,136000,0,0,0,DPT-001,ROL-003
CMP-000021,EMP-00008,2024-09-18,Hire,105000,123000,0.1,24600,DPT-004,ROL-003
CMP-000022,EMP-00008,2026-01-16,Termination,123000,0,0,0,DPT-004,ROL-003
CMP-000023,EMP-00009,2023-08-26,Hire,89000,104000,0.1,20800,DPT-008,ROL-002
CMP-000024,EMP-00009,2024-04-21,Equity Refresh,104000,104000,0.1,29991,DPT-008,ROL-002
CMP-000025,EMP-00009,2024-12-23,Annual Adjustment,104000,106236,0.1,0,DPT-008,ROL-002
CMP-000026,EMP-00010,2026-03-18,Hire,129000,143000,0.1,28600,DPT-021,ROL-024
CMP-000027,EMP-00011,2020-07-28,Hire,170000,186000,0.2,186000,DPT-006,ROL-025
CMP-000028,EMP-00011,2021-06-24,Annual Adjustment,186000,190564,0.2,0,DPT-006,ROL-025
CMP-000029,EMP-00011,2022-01-24,Annual Adjustment,186000,194946,0.2,0,DPT-006,ROL-025
CMP-000030,EMP-00011,2023-01-19,Annual Adjustment,186000,193781,0.2,0,DPT-006,ROL-025
CMP-000031,EMP-00011,2026-03-02,Termination,186000,0,0,0,DPT-006,ROL-025
CMP-000032,EMP-00012,2025-05-14,Hire,118000,128000,0.1,25600,DPT-001,ROL-003
CMP-000033,EMP-00013,2024-07-11,Hire,153000,176000,0.1,35200,DPT-009,ROL-009
CMP-000034,EMP-00014,2020-10-03,Hire,146000,165000,0.1,82500,DPT-005,ROL-004
CMP-000035,EMP-00014,2021-10-17,Equity Refresh,165000,165000,0.1,103091,DPT-005,ROL-004
CMP-000036,EMP-00014,2022-05-18,Promotion,165000,187435,0.1,0,DPT-005,ROL-004
CMP-000037,EMP-00015,2026-02-19,Hire,53000,60000,0.1,12000,DPT-020,ROL-018
CMP-000038,EMP-00016,2025-03-18,Hire,110000,124000,0.1,24800,DPT-020,ROL-017
CMP-000039,EMP-00016,2026-04-23,Annual Adjustment,124000,130912,0.1,0,DPT-020,ROL-017
