snapshot_date,employee_id,department_id,role_id,location_id,manager_id,fte,base_salary_cad
2022-01-31,EMP-00001,DPT-006,ROL-035,LOC-001,EMP-00006,1.0,502000
2022-01-31,EMP-00002,DPT-009,ROL-036,LOC-001,EMP-00006,1.0,499000
2022-01-31,EMP-00003,DPT-011,ROL-037,LOC-001,EMP-00006,1.0,497000
2022-01-31,EMP-00004,DPT-021,ROL-038,LOC-001,EMP-00006,1.0,519000
2022-01-31,EMP-00005,DPT-023,ROL-039,LOC-001,EMP-00006,1.0,416000
2022-01-31,EMP-00006,DPT-025,ROL-040,LOC-001,EMP-00616,1.0,773000
2022-01-31,EMP-00011,DPT-006,ROL-025,LOC-001,,1.0,186000
2022-01-31,EMP-00014,DPT-005,ROL-004,LOC-001,EMP-00049,1.0,165000
2022-01-31,EMP-00038,DPT-008,ROL-005,LOC-002,EMP-00034,1.0,201000
2022-01-31,EMP-00040,DPT-002,ROL-004,LOC-004,EMP-00108,1.0,160000
2022-01-31,EMP-00048,DPT-002,ROL-005,LOC-001,EMP-00214,1.0,209000
2022-01-31,EMP-00054,DPT-008,ROL-004,LOC-006,EMP-00404,1.0,159000
2022-01-31,EMP-00056,DPT-014,ROL-014,LOC-001,,1.0,128000
2022-01-31,EMP-00077,DPT-024,ROL-025,LOC-002,EMP-00324,1.0,193000
2022-01-31,EMP-00079,DPT-021,ROL-027,LOC-004,EMP-01004,1.0,283000
2022-01-31,EMP-00083,DPT-003,ROL-028,LOC-005,EMP-00515,1.0,234000
2022-01-31,EMP-00085,DPT-023,ROL-024,LOC-003,EMP-00731,1.0,148000
2022-01-31,EMP-00093,DPT-011,ROL-014,LOC-001,EMP-00530,1.0,136000
2022-01-31,EMP-00098,DPT-005,ROL-028,LOC-002,EMP-00579,1.0,246000
2022-01-31,EMP-00103,DPT-011,ROL-026,LOC-001,,1.0,226000
2022-01-31,EMP-00104,DPT-001,ROL-004,LOC-002,EMP-00620,1.0,168000
2022-01-31,EMP-00108,DPT-002,ROL-026,LOC-001,EMP-00001,1.0,222000
2022-01-31,EMP-00116,DPT-006,ROL-034,LOC-007,EMP-00289,1.0,317000
2022-01-31,EMP-00130,DPT-005,ROL-025,LOC-002,EMP-00579,1.0,183000
2022-01-31,EMP-00135,DPT-001,ROL-004,LOC-001,,1.0,164000
2022-01-31,EMP-00154,DPT-005,ROL-005,LOC-001,EMP-00098,1.0,209000
2022-01-31,EMP-00157,DPT-003,ROL-005,LOC-001,EMP-01092,1.0,204000
2022-01-31,EMP-00163,DPT-001,ROL-005,LOC-001,,1.0,194000
2022-01-31,EMP-00203,DPT-002,ROL-025,LOC-004,,1.0,178000
2022-01-31,EMP-00204,DPT-006,ROL-004,LOC-001,EMP-00818,1.0,167000
2022-01-31,EMP-00213,DPT-009,ROL-009,LOC-001,EMP-00758,1.0,174000
2022-01-31,EMP-00214,DPT-002,ROL-025,LOC-003,EMP-00108,1.0,183000
2022-01-31,EMP-00217,DPT-007,ROL-004,LOC-001,EMP-00539,1.0,165000
