req_id,posting_date,hire_date,status,department_id,role_id,location_id,applicants,interviewed,offers_made,offers_accepted,time_to_fill_days,source_channel,hired_employee_id
REQ-00001,2023-02-03,2023-05-21,Filled,DPT-001,ROL-003,LOC-007,366,30,5,1,107,Agency,EMP-00007
REQ-00002,2024-06-27,2024-09-18,Filled,DPT-004,ROL-003,LOC-004,516,21,2,1,83,Agency,EMP-00008
REQ-00003,2023-07-18,2023-08-26,Filled,DPT-008,ROL-002,LOC-005,525,45,8,1,39,Indeed,EMP-00009
REQ-00004,2025-10-26,2026-03-18,Filled,DPT-021,ROL-024,LOC-003,653,59,6,1,143,Agency,EMP-00010
REQ-00005,2025-01-25,2025-05-14,Filled,DPT-001,ROL-003,LOC-001,410,28,5,1,109,LinkedIn,EMP-00012
REQ-00006,2024-01-28,2024-07-11,Filled,DPT-009,ROL-009,LOC-004,302,24,3,1,165,LinkedIn,EMP-00013
REQ-00007,2025-12-31,2026-02-19,Filled,DPT-020,ROL-018,LOC-001,408,22,4,1,50,LinkedIn,EMP-00015
REQ-00008,2025-01-06,2025-03-18,Filled,DPT-020,ROL-017,LOC-002,549,29,2,1,71,Direct apply,EMP-00016
REQ-00009,2025-08-24,2025-12-06,Filled,DPT-025,ROL-030,LOC-001,263,19,2,1,104,LinkedIn,EMP-00017
REQ-00010,2024-08-31,2024-09-28,Filled,DPT-004,ROL-001,LOC-004,542,25,4,1,28,LinkedIn,EMP-00018
REQ-00011,2024-11-11,2025-01-20,Filled,DPT-007,ROL-002,LOC-006,498,46,5,1,70,LinkedIn,EMP-00019
REQ-00012,2024-07-23,2024-11-05,Filled,DPT-003,ROL-004,LOC-006,614,57,6,1,105,Conference / event,EMP-00020
REQ-00013,2023-02-27,2023-08-09,Filled,DPT-012,ROL-012,LOC-003,292,18,1,1,163,Employee referral,EMP-00021
REQ-00014,2025-03-26,2025-08-08,Filled,DPT-026,ROL-030,LOC-003,280,11,1,1,135,Employee referral,EMP-00022
REQ-00015,2024-09-02,2024-10-11,Filled,DPT-018,ROL-016,LOC-001,258,23,4,1,39,Employee referral,EMP-00023
REQ-00016,2025-08-23,2025-12-12,Filled,DPT-004,ROL-032,LOC-001,239,15,1,1,111,Direct apply,EMP-00024
REQ-00017,2022-10-16,2023-02-12,Filled,DPT-013,ROL-014,LOC-001,143,7,1,1,119,Direct apply,EMP-00025
REQ-00018,2023-10-19,2024-01-08,Filled,DPT-018,ROL-025,LOC-004,554,42,5,1,81,Direct apply,EMP-00026
REQ-00019,2023-09-28,2024-01-04,Filled,DPT-006,ROL-003,LOC-001,215,19,3,1,98,LinkedIn,EMP-00027
REQ-00020,2024-07-15,2024-10-27,Filled,DPT-001,ROL-003,LOC-005,559,22,3,1,104,LinkedIn,EMP-00028
REQ-00021,2024-03-05,2024-06-06,Filled,DPT-005,ROL-004,LOC-001,311,16,1,1,93,LinkedIn,EMP-00029
REQ-00022,2024-05-12,2024-07-01,Filled,DPT-010,ROL-021,LOC-004,284,20,3,1,50,Direct apply,EMP-00030
REQ-00023,2022-05-11,2022-07-07,Filled,DPT-021,ROL-023,LOC-005,336,30,5,1,57,LinkedIn,EMP-00031
REQ-00024,2021-08-30,2022-02-15,Filled,DPT-024,ROL-024,LOC-001,129,9,1,1,169,LinkedIn,EMP-00032
REQ-00025,2024-03-19,2024-05-19,Filled,DPT-006,ROL-002,LOC-004,512,22,4,1,61,Indeed,EMP-00033
REQ-00026,2024-02-11,2024-06-20,Filled,DPT-008,ROL-032,LOC-005,204,16,1,1,130,LinkedIn,EMP-00034
REQ-00027,2023-12-17,2024-02-11,Filled,DPT-017,ROL-015,LOC-001,505,36,7,1,56,LinkedIn,EMP-00035
REQ-00028,2025-10-03,2026-02-28,Filled,DPT-022,ROL-024,LOC-005,64,4,1,1,148,University recruit,EMP-00036
REQ-00029,2023-01-19,2023-03-19,Filled,DPT-020,ROL-018,LOC-004,429,40,4,1,59,Conference / event,EMP-00037
REQ-00030,2024-09-10,2024-11-01,Filled,DPT-018,ROL-017,LOC-002,89,4,1,1,52,Conference / event,EMP-00039
REQ-00031,2024-03-12,2024-04-09,Filled,DPT-004,ROL-002,LOC-005,300,19,3,1,28,Employee referral,EMP-00041
REQ-00032,2024-11-03,2024-12-25,Filled,DPT-007,ROL-002,LOC-001,103,9,1,1,52,Agency,EMP-00042
REQ-00033,2024-12-12,2025-02-10,Filled,DPT-009,ROL-020,LOC-004,174,15,1,1,60,University recruit,EMP-00043
REQ-00034,2025-02-25,2025-03-26,Filled,DPT-023,ROL-022,LOC-004,633,62,8,1,29,LinkedIn,EMP-00044
REQ-00035,2023-09-21,2023-12-06,Filled,DPT-023,ROL-023,LOC-001,650,29,5,1,76,Employee referral,EMP-00045
REQ-00036,2024-05-03,2024-09-03,Filled,DPT-023,ROL-024,LOC-001,346,31,3,1,123,LinkedIn,EMP-00046
REQ-00037,2024-03-05,2024-05-02,Filled,DPT-007,ROL-003,LOC-001,432,33,4,1,58,Agency,EMP-00047
REQ-00038,2022-09-22,2023-01-06,Filled,DPT-005,ROL-025,LOC-004,397,35,5,1,106,Indeed,EMP-00049
REQ-00039,2024-02-07,2024-04-08,Filled,DPT-005,ROL-001,LOC-001,165,13,2,1,61,LinkedIn,EMP-00050
REQ-00040,2023-04-18,2023-11-15,Filled,DPT-021,ROL-034,LOC-004,209,15,1,1,211,Agency,EMP-00051
REQ-00041,2025-07-13,2025-08-07,Filled,DPT-023,ROL-022,LOC-001,468,32,3,1,25,Direct apply,EMP-00052
REQ-00042,2023-09-23,2024-04-20,Filled,DPT-020,ROL-032,LOC-004,271,20,2,1,210,Employee referral,EMP-00053
REQ-00043,2022-11-18,2022-12-23,Filled,DPT-007,ROL-002,LOC-001,405,27,4,1,35,Employee referral,EMP-00055
REQ-00044,2025-07-11,2025-11-13,Filled,DPT-002,ROL-004,LOC-002,108,6,1,1,125,Direct apply,EMP-00057
REQ-00045,2024-03-02,2024-06-24,Filled,DPT-003,ROL-025,LOC-007,487,39,5,1,114,Agency,EMP-00058
REQ-00046,2023-03-17,2023-05-05,Filled,DPT-021,ROL-022,LOC-001,585,55,8,1,49,LinkedIn,EMP-00059
REQ-00047,2023-10-19,2023-12-10,Filled,DPT-001,ROL-003,LOC-005,567,33,5,1,52,Employee referral,EMP-00060
REQ-00048,2025-08-23,2025-11-01,Filled,DPT-001,ROL-005,LOC-003,96,7,1,1,70,LinkedIn,EMP-00061
REQ-00049,2022-01-08,2022-04-29,Filled,DPT-014,ROL-026,LOC-001,697,31,4,1,111,LinkedIn,EMP-00062
REQ-00050,2024-02-08,2024-03-30,Filled,DPT-001,ROL-003,LOC-003,389,28,4,1,51,Agency,EMP-00063
REQ-00051,2024-02-22,2024-04-16,Filled,DPT-001,ROL-001,LOC-001,336,23,5,1,54,Direct apply,EMP-00064
REQ-00052,2025-09-15,2026-01-02,Filled,DPT-005,ROL-003,LOC-006,385,16,2,1,109,Direct apply,EMP-00065
REQ-00053,2024-09-05,2024-10-26,Filled,DPT-001,ROL-002,LOC-006,335,30,4,1,51,LinkedIn,EMP-00066
REQ-00054,2025-03-03,2025-06-03,Filled,DPT-017,ROL-017,LOC-007,329,32,3,1,92,LinkedIn,EMP-00067
REQ-00055,2026-02-16,2026-04-16,Filled,DPT-021,ROL-022,LOC-004,468,42,5,1,59,LinkedIn,EMP-00068
REQ-00056,2021-11-12,2022-04-15,Filled,DPT-021,ROL-024,LOC-004,538,23,4,1,154,LinkedIn,EMP-00069
REQ-00057,2024-10-24,2024-12-25,Filled,DPT-026,ROL-022,LOC-004,232,18,2,1,62,Agency,EMP-00070
REQ-00058,2024-03-12,2024-06-11,Filled,DPT-003,ROL-003,LOC-001,267,21,1,1,91,LinkedIn,EMP-00071
REQ-00059,2024-02-13,2024-05-04,Filled,DPT-006,ROL-003,LOC-001,108,7,1,1,81,University recruit,EMP-00072
REQ-00060,2022-10-06,2023-01-15,Filled,DPT-024,ROL-031,LOC-006,609,54,10,1,101,LinkedIn,EMP-00073
REQ-00061,2023-03-03,2023-04-26,Filled,DPT-005,ROL-003,LOC-001,269,26,2,1,54,Employee referral,EMP-00074
REQ-00062,2023-02-10,2023-03-12,Filled,DPT-018,ROL-016,LOC-001,370,31,3,1,30,Agency,EMP-00075
REQ-00063,2025-12-09,2026-04-18,Filled,DPT-008,ROL-004,LOC-001,695,67,14,1,130,Agency,EMP-00076
REQ-00064,2023-08-14,2023-09-11,Filled,DPT-020,ROL-016,LOC-004,676,51,8,1,28,LinkedIn,EMP-00078
REQ-00065,2023-12-05,2024-02-11,Filled,DPT-001,ROL-003,LOC-005,248,22,2,1,68,LinkedIn,EMP-00080
REQ-00066,2025-04-14,2025-08-26,Filled,DPT-014,ROL-012,LOC-003,683,54,6,1,134,Employee referral,EMP-00081
REQ-00067,2024-08-16,2024-09-10,Filled,DPT-022,ROL-022,LOC-001,311,30,4,1,25,LinkedIn,EMP-00082
REQ-00068,2021-10-29,2022-03-03,Filled,DPT-024,ROL-032,LOC-007,667,32,3,1,125,LinkedIn,EMP-00084
REQ-00069,2021-09-08,2022-03-06,Filled,DPT-012,ROL-029,LOC-004,264,10,1,1,179,Direct apply,EMP-00086
REQ-00070,2023-11-30,2023-12-27,Filled,DPT-016,ROL-016,LOC-005,344,20,1,1,27,LinkedIn,EMP-00087
REQ-00071,2024-08-28,2024-10-25,Filled,DPT-021,ROL-023,LOC-001,637,48,7,1,58,LinkedIn,EMP-00088
REQ-00072,2023-12-13,2024-05-17,Filled,DPT-005,ROL-004,LOC-007,666,34,4,1,156,Employee referral,EMP-00089
REQ-00073,2022-06-05,2022-09-19,Filled,DPT-023,ROL-024,LOC-007,689,32,4,1,106,Agency,EMP-00090
REQ-00074,2024-05-28,2024-11-12,Filled,DPT-016,ROL-026,LOC-001,99,4,1,1,168,Agency,EMP-00091
REQ-00075,2023-08-07,2023-11-09,Filled,DPT-005,ROL-003,LOC-001,497,33,4,1,94,Indeed,EMP-00092
REQ-00076,2022-11-24,2023-03-12,Filled,DPT-004,ROL-025,LOC-001,552,31,4,1,108,LinkedIn,EMP-00094
REQ-00077,2022-04-13,2022-05-23,Filled,DPT-008,ROL-002,LOC-001,664,51,6,1,40,Direct apply,EMP-00095
REQ-00078,2022-07-12,2022-10-15,Filled,DPT-018,ROL-025,LOC-004,213,20,3,1,95,Indeed,EMP-00096
REQ-00079,2024-03-04,2024-05-18,Filled,DPT-001,ROL-003,LOC-001,345,29,6,1,75,Employee referral,EMP-00097
REQ-00080,2023-03-04,2023-05-20,Filled,DPT-019,ROL-017,LOC-002,574,39,5,1,77,Employee referral,EMP-00099
REQ-00081,2025-10-26,2025-12-06,Filled,DPT-026,ROL-022,LOC-002,348,27,5,1,41,LinkedIn,EMP-00100
REQ-00082,2023-07-08,2023-08-26,Filled,DPT-020,ROL-019,LOC-004,510,35,4,1,49,Agency,EMP-00101
REQ-00083,2024-10-02,2024-12-07,Filled,DPT-016,ROL-017,LOC-001,552,49,6,1,66,Agency,EMP-00102
REQ-00084,2022-08-23,2023-01-04,Filled,DPT-005,ROL-028,LOC-002,586,49,9,1,134,Employee referral,EMP-00105
REQ-00085,2023-09-20,2023-11-14,Filled,DPT-010,ROL-020,LOC-002,58,4,1,1,55,Agency,EMP-00106
REQ-00086,2023-07-31,2023-09-14,Filled,DPT-006,ROL-003,LOC-003,513,41,4,1,45,Direct apply,EMP-00107
REQ-00087,2025-05-19,2025-07-14,Filled,DPT-005,ROL-001,LOC-001,602,48,4,1,56,Employee referral,EMP-00109
REQ-00088,2025-09-03,2025-11-03,Filled,DPT-022,ROL-023,LOC-001,155,14,2,1,61,Employee referral,EMP-00110
REQ-00089,2025-05-20,2025-08-02,Filled,DPT-012,ROL-012,LOC-004,431,20,2,1,74,LinkedIn,EMP-00111
REQ-00090,2024-11-26,2025-01-25,Filled,DPT-001,ROL-002,LOC-001,503,41,7,1,60,Employee referral,EMP-00112
REQ-00091,2023-12-22,2024-05-29,Filled,DPT-004,ROL-025,LOC-004,622,51,10,1,159,Indeed,EMP-00113
