training_record_id,employee_id,course_id,course_name,regulator,is_mandatory,due_date,completion_date,status,days_overdue,department_id,location_id
TRC-000001,EMP-00001,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-01-08,2025-11-25,Completed,0,DPT-006,LOC-001
TRC-000002,EMP-00001,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-19,2025-10-06,Completed,0,DPT-006,LOC-001
TRC-000003,EMP-00001,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-07-13,2025-07-05,Completed,0,DPT-006,LOC-001
TRC-000004,EMP-00001,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-12-03,2024-10-29,Completed,0,DPT-006,LOC-001
TRC-000005,EMP-00001,TRN-005,Insider Trading Policy,Internal,Yes,2025-12-30,2025-12-19,Completed,0,DPT-006,LOC-001
TRC-000006,EMP-00001,TRN-006,Cyber Security Awareness,Internal,Yes,2026-01-15,2025-12-14,Completed,0,DPT-006,LOC-001
TRC-000007,EMP-00001,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-05-06,2025-04-06,Completed,0,DPT-006,LOC-001
TRC-000008,EMP-00001,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-09-21,,Overdue,245,DPT-006,LOC-001
TRC-000009,EMP-00001,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-06-02,2025-05-21,Completed,0,DPT-006,LOC-001
TRC-000010,EMP-00001,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-11-05,Completed,0,DPT-006,LOC-001
TRC-000011,EMP-00003,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2025-06-25,2025-06-17,Completed,0,DPT-011,LOC-001
TRC-000012,EMP-00003,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-08-20,2025-08-09,Completed,0,DPT-011,LOC-001
TRC-000013,EMP-00003,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-08-10,2025-07-21,Completed,0,DPT-011,LOC-001
TRC-000014,EMP-00003,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2024-08-31,2024-08-25,Completed,0,DPT-011,LOC-001
TRC-000015,EMP-00003,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-21,2025-06-17,Completed,0,DPT-011,LOC-001
TRC-000016,EMP-00003,TRN-006,Cyber Security Awareness,Internal,Yes,2025-12-27,2025-11-13,Completed,0,DPT-011,LOC-001
TRC-000017,EMP-00003,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2026-01-15,2025-12-14,Completed,0,DPT-011,LOC-001
TRC-000018,EMP-00003,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-01-07,,Overdue,502,DPT-011,LOC-001
TRC-000019,EMP-00003,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-07-09,,Overdue,319,DPT-011,LOC-001
TRC-000020,EMP-00003,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,2026-10-06,Completed,0,DPT-011,LOC-001
TRC-000021,EMP-00004,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-02-20,2026-01-11,Completed,0,DPT-021,LOC-001
TRC-000022,EMP-00004,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2025-11-23,2025-11-15,Completed,0,DPT-021,LOC-001
TRC-000023,EMP-00004,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-08-02,2025-07-29,Completed,0,DPT-021,LOC-001
TRC-000024,EMP-00004,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-03-25,2025-03-14,Completed,0,DPT-021,LOC-001
TRC-000025,EMP-00004,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-29,2025-06-28,Completed,0,DPT-021,LOC-001
TRC-000026,EMP-00004,TRN-006,Cyber Security Awareness,Internal,Yes,2026-03-28,2026-03-15,Completed,0,DPT-021,LOC-001
TRC-000027,EMP-00004,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-03-27,2025-03-10,Completed,0,DPT-021,LOC-001
TRC-000028,EMP-00004,TRN-008,Workplace Respect & Harassment,Internal,Yes,2025-02-09,2025-01-10,Completed,0,DPT-021,LOC-001
TRC-000029,EMP-00004,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2026-01-02,2025-12-05,Completed,0,DPT-021,LOC-001
TRC-000030,EMP-00006,TRN-001,FINTRAC AML & ATF Training,FINTRAC,Yes,2026-01-23,2025-12-25,Completed,0,DPT-025,LOC-001
TRC-000031,EMP-00006,TRN-002,OSFI E-21 Operational Resilience,OSFI,Yes,2026-03-08,2026-03-07,Completed,0,DPT-025,LOC-001
TRC-000032,EMP-00006,TRN-003,Code of Conduct & Ethics,Internal,Yes,2025-11-12,2025-10-02,Completed,0,DPT-025,LOC-001
TRC-000033,EMP-00006,TRN-004,PIPEDA Privacy Foundations,PIPEDA,Yes,2025-09-20,2025-08-25,Completed,0,DPT-025,LOC-001
TRC-000034,EMP-00006,TRN-005,Insider Trading Policy,Internal,Yes,2025-07-30,2025-07-23,Completed,0,DPT-025,LOC-001
TRC-000035,EMP-00006,TRN-006,Cyber Security Awareness,Internal,Yes,2026-04-19,2026-03-20,Completed,0,DPT-025,LOC-001
TRC-000036,EMP-00006,TRN-007,Anti-Bribery & Anti-Corruption,Internal,Yes,2025-02-09,2025-01-15,Completed,0,DPT-025,LOC-001
TRC-000037,EMP-00006,TRN-008,Workplace Respect & Harassment,Internal,Yes,2026-01-29,2025-12-25,Completed,0,DPT-025,LOC-001
TRC-000038,EMP-00006,TRN-009,Payment Card Industry (PCI) DSS,PCI,No,2025-06-25,,Overdue,333,DPT-025,LOC-001
TRC-000039,EMP-00006,TRN-010,Quantum Cryptography Primer,Internal,No,2026-11-20,,Upcoming,0,DPT-025,LOC-001
