policy_id,customer_id,product_id,advisor_id,policy_number,policy_type,status,effective_date,expiry_date,premium_amount,coverage_amount,payment_frequency,last_payment_date,risk_category
POL-00001,CUS-0099,PRD-0006,ADV-0017,MLJ-933503,Health,Lapsed,2024-03-13,2044-03-13,7047,10025351,Annual,2026-03-30,Low
POL-00002,CUS-0040,PRD-0002,ADV-0020,MLJ-326138,Wealth,Active,2023-07-16,2033-07-16,14014,9879537,Annual,2026-03-17,High
POL-00003,CUS-0065,PRD-0003,ADV-0027,MLJ-306844,Life,Active,2025-08-19,2055-08-19,48211,77925134,Monthly,2026-04-02,Low
POL-00004,CUS-0067,PRD-0005,ADV-0005,MLJ-531662,Life,Lapsed,2020-02-27,2119-02-27,17195,31637019,Quarterly,2025-04-24,High
POL-00005,CUS-0038,PRD-0011,ADV-0021,MLJ-373696,Health,Active,2021-05-08,2036-05-08,2952,6582871,Annual,2025-10-20,Low
POL-00006,CUS-0080,PRD-0009,ADV-0002,MLJ-251489,Group,Lapsed,2021-08-11,2051-08-11,128103,388135031,Semi-Annual,2025-04-03,Medium
POL-00007,CUS-0125,PRD-0011,ADV-0016,MLJ-435864,Health,Cancelled,2024-09-25,2044-09-25,7540,17048160,Monthly,2025-01-08,Low
POL-00008,CUS-0132,PRD-0005,ADV-0028,MLJ-646594,Life,Active,2024-05-06,2034-05-06,3680,8548410,Monthly,2026-04-11,Low
POL-00009,CUS-0018,PRD-0006,ADV-0008,MLJ-797256,Health,Active,2024-11-11,2123-11-11,5014,5771748,Semi-Annual,2025-05-23,High
POL-00010,CUS-0136,PRD-0005,ADV-0014,MLJ-123865,Life,Lapsed,2022-07-11,2052-07-11,14620,30815738,Semi-Annual,2025-05-18,High
POL-00011,CUS-0196,PRD-0005,ADV-0009,MLJ-229469,Life,Active,2025-12-25,2035-12-25,14527,39360787,Quarterly,2025-02-07,High
POL-00012,CUS-0170,PRD-0007,ADV-0030,MLJ-467637,Health,Active,2025-08-04,2035-08-04,1545,2261202,Monthly,2026-02-01,Medium
POL-00013,CUS-0098,PRD-0010,ADV-0008,MLJ-918767,Life,Active,2025-07-20,2045-07-20,214294,129738492,Quarterly,2025-09-14,High
POL-00014,CUS-0114,PRD-0012,ADV-0021,MLJ-331702,Life,Active,2023-06-07,2122-06-07,8218,22655899,Monthly,2025-05-02,Medium
POL-00015,CUS-0017,PRD-0002,ADV-0006,MLJ-198108,Wealth,Active,2023-02-08,2122-02-08,30763,23435534,Quarterly,2025-01-27,High
POL-00016,CUS-0055,PRD-0001,ADV-0016,MLJ-999557,Wealth,Active,2025-06-17,2040-06-17,60746,35335821,Annual,2025-06-08,High
POL-00017,CUS-0069,PRD-0003,ADV-0017,MLJ-484610,Life,Cancelled,2023-11-17,2033-11-17,119737,166756020,Quarterly,2026-03-25,Medium
POL-00018,CUS-0119,PRD-0002,ADV-0012,MLJ-249417,Wealth,Active,2019-09-17,2049-09-17,13671,10976175,Annual,2025-04-02,Low
POL-00019,CUS-0166,PRD-0011,ADV-0016,MLJ-222215,Health,Active,2023-10-11,2038-10-11,4768,14454037,Semi-Annual,2025-06-17,Low
POL-00020,CUS-0169,PRD-0004,ADV-0029,MLJ-159873,Life,Lapsed,2023-08-17,2122-08-17,577,3378447,Annual,2026-03-09,High
