cell_id,site_id,sector,technology,band,vendor,azimuth_deg,max_throughput_dl_mbps
C-VAN-N-002,S-VAN-001,1,4G,B12-700,Nokia,0,250
C-VAN-001-002,S-VAN-001,2,4G,B66-AWS3,Nokia,120,250
C-VAN-001-003,S-VAN-001,3,4G,B66-AWS3,Nokia,240,250
C-SUR-002-001,S-SUR-002,1,4G,B7-2600,Samsung,0,250
C-SUR-002-002,S-SUR-002,2,5G,n41-2500,Samsung,120,1200
C-SUR-002-003,S-SUR-002,3,4G,B12-700,Samsung,240,250
C-HAM-001-001,S-HAM-001,1,4G,B7-2600,Nokia,0,250
C-HAM-001-002,S-HAM-001,2,4G,B7-2600,Nokia,120,250
C-HAM-001-003,S-HAM-001,3,4G,B66-AWS3,Nokia,240,250
C-HAM-002-001,S-HAM-002,1,5G,n71-600,Nokia,0,1200
C-HAM-002-002,S-HAM-002,2,4G,B12-700,Nokia,120,250
C-HAM-002-003,S-HAM-002,3,5G,n78-3500,Nokia,240,1200
C-MTL-001-001,S-MTL-001,1,5G,n78-3500,Samsung,0,1200
C-MTL-001-002,S-MTL-001,2,4G,B12-700,Ericsson,120,250
C-MTL-001-003,S-MTL-001,3,5G,n78-3500,Samsung,240,1200
C-OTT-003-001,S-OTT-003,1,5G,n71-600,Nokia,0,1200
C-OTT-003-002,S-OTT-003,2,5G,n71-600,Nokia,120,1200
C-OTT-003-003,S-OTT-003,3,5G,n71-600,Nokia,240,1200
C-OTT-004-001,S-OTT-004,1,5G,n71-600,Samsung,0,1200
C-OTT-004-002,S-OTT-004,2,5G,n41-2500,Samsung,120,1200
C-OTT-004-003,S-OTT-004,3,5G,n71-600,Samsung,240,1200
C-CAL-001-001,S-CAL-001,1,5G,n78-3500,Ericsson,0,1200
C-CAL-001-002,S-CAL-001,2,5G,n78-3500,Ericsson,120,1200
C-CAL-001-003,S-CAL-001,3,5G,n78-3500,Ericsson,240,1200
C-OTT-005-001,S-OTT-005,1,5G,n71-600,Nokia,0,1200
C-OTT-005-002,S-OTT-005,2,5G,n41-2500,Nokia,120,1200
C-OTT-005-003,S-OTT-005,3,4G,B66-AWS3,Nokia,240,250
C-MNC-001-001,S-MNC-001,1,4G,B66-AWS3,Nokia,0,250
C-MNC-001-002,S-MNC-001,2,5G,n71-600,Nokia,120,1200
C-MNC-001-003,S-MNC-001,3,5G,n41-2500,Nokia,240,1200
C-QBC-002-001,S-QBC-002,1,4G,B66-AWS3,Samsung,0,250
C-QBC-002-002,S-QBC-002,2,5G,n71-600,Samsung,120,1200
C-QBC-002-003,S-QBC-002,3,5G,n41-2500,Samsung,240,1200
C-LDN-006-001,S-LDN-006,1,5G,n71-600,Nokia,0,1200
C-LDN-006-002,S-LDN-006,2,4G,B66-AWS3,Nokia,120,250
C-LDN-006-003,S-LDN-006,3,5G,n78-3500,Nokia,240,1200
C-LDN-007-001,S-LDN-007,1,4G,B12-700,Ericsson,0,250
C-LDN-007-002,S-LDN-007,2,4G,B66-AWS3,Ericsson,120,250
C-LDN-007-003,S-LDN-007,3,4G,B7-2600,Ericsson,240,250
C-STJ-001-001,S-STJ-001,1,4G,B12-700,Ericsson,0,250
C-STJ-001-002,S-STJ-001,2,4G,B12-700,Ericsson,120,250
C-STJ-001-003,S-STJ-001,3,4G,B66-AWS3,Ericsson,240,250
C-VAN-003-001,S-VAN-003,1,5G,n41-2500,Samsung,0,1200
C-VAN-003-002,S-VAN-003,2,5G,n41-2500,Samsung,120,1200
C-VAN-003-003,S-VAN-003,3,5G,n41-2500,Samsung,240,1200
C-CHA-001-001,S-CHA-001,1,5G,n41-2500,Ericsson,0,1200
C-CHA-001-002,S-CHA-001,2,5G,n71-600,Ericsson,120,1200
C-CHA-001-003,S-CHA-001,3,4G,B7-2600,Ericsson,240,250
C-MNC-002-001,S-MNC-002,1,4G,B12-700,Samsung,0,250
C-MNC-002-002,S-MNC-002,2,5G,n71-600,Samsung,120,1200
C-MNC-002-003,S-MNC-002,3,5G,n41-2500,Samsung,240,1200
C-MTL-003-001,S-MTL-003,1,5G,n78-3500,Nokia,0,1200
C-MTL-003-002,S-MTL-003,2,4G,B12-700,Ericsson,120,250
C-MTL-003-003,S-MTL-003,3,4G,B7-2600,Nokia,240,250
C-VAN-004-001,S-VAN-004,1,5G,n41-2500,Ericsson,0,1200
C-VAN-004-002,S-VAN-004,2,4G,B7-2600,Samsung,120,250
C-VAN-004-003,S-VAN-004,3,4G,B12-700,Nokia,240,250
C-CHA-002-001,S-CHA-002,1,5G,n41-2500,Ericsson,0,1200
C-CHA-002-002,S-CHA-002,2,5G,n78-3500,Ericsson,120,1200
C-CHA-002-003,S-CHA-002,3,5G,n78-3500,Ericsson,240,1200
C-LDN-008-001,S-LDN-008,1,5G,n71-600,Samsung,0,1200
C-LDN-008-002,S-LDN-008,2,4G,B7-2600,Samsung,120,250
C-LDN-008-003,S-LDN-008,3,5G,n71-600,Samsung,240,1200
C-MTL-004-001,S-MTL-004,1,5G,n41-2500,Samsung,0,1200
C-MTL-004-002,S-MTL-004,2,5G,n71-600,Samsung,120,1200
C-MTL-004-003,S-MTL-004,3,4G,B12-700,Samsung,240,250
C-MTL-005-001,S-MTL-005,1,4G,B7-2600,Samsung,0,250
C-MTL-005-002,S-MTL-005,2,4G,B7-2600,Samsung,120,250
C-MTL-005-003,S-MTL-005,3,4G,B12-700,Samsung,240,250
C-TOR-009-001,S-TOR-009,1,4G,B12-700,Nokia,0,250
C-TOR-009-002,S-TOR-009,2,5G,n71-600,Nokia,120,1200
C-TOR-009-003,S-TOR-009,3,5G,n78-3500,Nokia,240,1200
C-LAV-006-001,S-LAV-006,1,5G,n78-3500,Nokia,0,1200
C-LAV-006-002,S-LAV-006,2,5G,n71-600,Nokia,120,1200
C-LAV-006-003,S-LAV-006,3,4G,B66-AWS3,Nokia,240,250
C-LAV-007-001,S-LAV-007,1,4G,B12-700,Nokia,0,250
C-LAV-007-002,S-LAV-007,2,4G,B12-700,Nokia,120,250
C-LAV-007-003,S-LAV-007,3,5G,n78-3500,Nokia,240,1200
C-CHA-003-001,S-CHA-003,1,5G,n78-3500,Nokia,0,1200
C-CHA-003-002,S-CHA-003,2,4G,B7-2600,Ericsson,120,250
C-CHA-003-003,S-CHA-003,3,4G,B66-AWS3,Ericsson,240,250
C-SUR-005-001,S-SUR-005,1,4G,B7-2600,Nokia,0,250
C-SUR-005-002,S-SUR-005,2,4G,B12-700,Nokia,120,250
C-SUR-005-003,S-SUR-005,3,4G,B66-AWS3,Nokia,240,250
C-LDN-010-001,S-LDN-010,1,5G,n41-2500,Ericsson,0,1200
C-LDN-010-002,S-LDN-010,2,5G,n78-3500,Ericsson,120,1200
C-LDN-010-003,S-LDN-010,3,5G,n41-2500,Ericsson,240,1200
C-VIC-006-001,S-VIC-006,1,4G,B66-AWS3,Ericsson,0,250
C-VIC-006-002,S-VIC-006,2,4G,B7-2600,Ericsson,120,250
C-VIC-006-003,S-VIC-006,3,4G,B12-700,Ericsson,240,250
C-WPG-001-001,S-WPG-001,1,4G,B66-AWS3,Ericsson,0,250
C-WPG-001-002,S-WPG-001,2,5G,n41-2500,Ericsson,120,1200
C-WPG-001-003,S-WPG-001,3,4G,B7-2600,Ericsson,240,250
C-EDM-002-001,S-EDM-002,1,5G,n41-2500,Samsung,0,1200
C-EDM-002-002,S-EDM-002,2,5G,n41-2500,Samsung,120,1200
C-EDM-002-003,S-EDM-002,3,4G,B66-AWS3,Ericsson,240,250
C-OTT-011-001,S-OTT-011,1,5G,n78-3500,Ericsson,0,1200
C-OTT-011-002,S-OTT-011,2,5G,n78-3500,Ericsson,120,1200
C-OTT-011-003,S-OTT-011,3,5G,n41-2500,Ericsson,240,1200
C-WPG-002-001,S-WPG-002,1,5G,n41-2500,Samsung,0,1200
C-WPG-002-002,S-WPG-002,2,4G,B12-700,Samsung,120,250
C-WPG-002-003,S-WPG-002,3,5G,n71-600,Samsung,240,1200
C-MNC-003-001,S-MNC-003,1,4G,B66-AWS3,Nokia,0,250
C-MNC-003-002,S-MNC-003,2,4G,B66-AWS3,Nokia,120,250
C-MNC-003-003,S-MNC-003,3,4G,B12-700,Ericsson,240,250
C-HAM-012-001,S-HAM-012,1,4G,B66-AWS3,Nokia,0,250
C-HAM-012-002,S-HAM-012,2,4G,B7-2600,Nokia,120,250
C-HAM-012-003,S-HAM-012,3,4G,B12-700,Nokia,240,250
C-OTT-013-001,S-OTT-013,1,4G,B66-AWS3,Ericsson,0,250
C-OTT-013-002,S-OTT-013,2,4G,B7-2600,Ericsson,120,250
C-OTT-013-003,S-OTT-013,3,4G,B12-700,Ericsson,240,250
C-OTT-014-001,S-OTT-014,1,4G,B12-700,Nokia,0,250
C-OTT-014-002,S-OTT-014,2,5G,n78-3500,Nokia,120,1200
C-OTT-014-003,S-OTT-014,3,5G,n78-3500,Ericsson,240,1200
C-SAS-001-001,S-SAS-001,1,4G,B7-2600,Nokia,0,250
C-SAS-001-002,S-SAS-001,2,5G,n78-3500,Nokia,120,1200
C-SAS-001-003,S-SAS-001,3,4G,B66-AWS3,Nokia,240,250
C-LAV-008-001,S-LAV-008,1,4G,B12-700,Ericsson,0,250
C-LAV-008-002,S-LAV-008,2,5G,n78-3500,Ericsson,120,1200
C-LAV-008-003,S-LAV-008,3,4G,B12-700,Ericsson,240,250
C-QBC-009-001,S-QBC-009,1,4G,B12-700,Nokia,0,250
C-QBC-009-002,S-QBC-009,2,4G,B66-AWS3,Nokia,120,250
C-QBC-009-003,S-QBC-009,3,4G,B7-2600,Nokia,240,250
C-MNC-004-001,S-MNC-004,1,4G,B7-2600,Nokia,0,250
C-MNC-004-002,S-MNC-004,2,5G,n41-2500,Nokia,120,1200
C-MNC-004-003,S-MNC-004,3,4G,B66-AWS3,Nokia,240,250
C-LDN-015-001,S-LDN-015,1,4G,B12-700,Ericsson,0,250
C-LDN-015-002,S-LDN-015,2,5G,n41-2500,Ericsson,120,1200
C-LDN-015-003,S-LDN-015,3,4G,B7-2600,Ericsson,240,250
C-QBC-010-001,S-QBC-010,1,4G,B7-2600,Ericsson,0,250
C-QBC-010-002,S-QBC-010,2,4G,B12-700,Ericsson,120,250
C-QBC-010-003,S-QBC-010,3,4G,B12-700,Ericsson,240,250
C-HAM-016-001,S-HAM-016,1,4G,B7-2600,Ericsson,0,250
C-HAM-016-002,S-HAM-016,2,4G,B12-700,Ericsson,120,250
C-HAM-016-003,S-HAM-016,3,4G,B7-2600,Ericsson,240,250
C-WPG-003-001,S-WPG-003,1,5G,n41-2500,Nokia,0,1200
C-WPG-003-002,S-WPG-003,2,4G,B66-AWS3,Nokia,120,250
C-WPG-003-003,S-WPG-003,3,5G,n78-3500,Nokia,240,1200
C-QBC-011-001,S-QBC-011,1,5G,n71-600,Ericsson,0,1200
