alarm_id,cell_id,date_key,hour,alarm_type_id,severity,duration_minutes,resolved_flag,mttr_minutes
A000001,C-VAN-N-002,2026-05-28,22,AT05,Major,26,1,26
A000002,C-VAN-N-002,2026-05-10,9,AT03,Major,25,1,25
A000003,C-VAN-001-002,2026-05-05,7,AT14,Minor,5,1,5
A000004,C-SUR-002-001,2026-05-27,7,AT03,Major,25,1,25
A000005,C-SUR-002-002,2026-05-16,13,AT15,Minor,98,1,98
A000006,C-SUR-002-003,2026-05-29,15,AT07,Major,27,1,27
A000007,C-HAM-001-003,2026-05-06,19,AT04,Major,170,1,170
A000008,C-HAM-002-001,2026-05-16,12,AT05,Major,30,1,30
A000009,C-HAM-002-001,2026-05-10,22,AT05,Major,84,1,84
A000010,C-HAM-002-002,2026-05-11,13,AT04,Major,20,1,20
A000011,C-HAM-002-003,2026-05-15,5,AT04,Major,27,1,27
A000012,C-HAM-002-003,2026-05-24,21,AT07,Major,6,1,6
A000013,C-MTL-001-001,2026-05-17,9,AT13,Minor,10,1,10
A000014,C-MTL-001-001,2026-05-11,20,AT03,Major,21,1,21
A000015,C-MTL-001-002,2026-05-22,2,AT14,Minor,23,1,23
A000016,C-OTT-003-001,2026-05-27,17,AT05,Major,15,1,15
A000017,C-OTT-003-001,2026-05-07,20,AT13,Minor,56,1,56
A000018,C-OTT-003-002,2026-05-24,19,AT10,Major,21,1,21
A000019,C-OTT-004-003,2026-05-12,18,AT04,Major,27,1,27
A000020,C-CAL-001-001,2026-05-16,21,AT03,Major,24,1,24
A000021,C-CAL-001-001,2026-05-24,5,AT14,Minor,26,1,26
A000022,C-CAL-001-002,2026-05-19,23,AT13,Minor,25,1,25
A000023,C-CAL-001-003,2026-05-09,1,AT05,Major,59,1,59
A000024,C-OTT-005-001,2026-05-08,12,AT14,Minor,27,1,27
A000025,C-OTT-005-002,2026-05-09,19,AT10,Major,13,1,13
A000026,C-OTT-005-002,2026-05-07,22,AT03,Major,108,1,108
A000027,C-OTT-005-003,2026-05-09,7,AT07,Major,32,1,32
A000028,C-OTT-005-003,2026-05-14,4,AT03,Major,123,1,123
A000029,C-MNC-001-001,2026-05-05,10,AT15,Minor,8,1,8
A000030,C-MNC-001-001,2026-05-28,20,AT04,Major,26,1,26
A000031,C-MNC-001-001,2026-05-05,10,AT07,Major,16,1,16
A000032,C-MNC-001-001,2026-05-14,7,AT05,Major,40,1,40
A000033,C-MNC-001-002,2026-05-20,10,AT04,Major,143,1,143
A000034,C-MNC-001-003,2026-05-11,19,AT13,Minor,5,1,5
A000035,C-QBC-002-002,2026-05-21,7,AT15,Minor,9,1,9
A000036,C-QBC-002-003,2026-05-28,2,AT14,Minor,11,1,11
A000037,C-LDN-006-002,2026-05-30,19,AT14,Minor,31,1,31
A000038,C-LDN-006-003,2026-05-07,19,AT14,Minor,112,1,112
A000039,C-LDN-006-003,2026-05-06,8,AT03,Major,126,1,126
A000040,C-LDN-006-003,2026-05-17,8,AT04,Major,16,1,16
A000041,C-LDN-007-001,2026-05-28,19,AT10,Major,40,1,40
A000042,C-LDN-007-003,2026-05-30,1,AT05,Major,61,1,61
A000043,C-STJ-001-001,2026-05-18,8,AT03,Major,31,1,31
A000044,C-STJ-001-001,2026-05-09,11,AT13,Minor,60,1,60
A000045,C-STJ-001-002,2026-05-26,0,AT13,Minor,81,1,81
A000046,C-STJ-001-003,2026-05-21,18,AT05,Major,44,1,44
A000047,C-VAN-003-001,2026-05-24,19,AT14,Minor,67,1,67
A000048,C-VAN-003-003,2026-05-07,18,AT03,Major,31,1,31
A000049,C-CHA-001-002,2026-05-05,20,AT13,Minor,62,1,62
A000050,C-CHA-001-003,2026-05-27,2,AT07,Major,42,1,42
A000051,C-MNC-002-002,2026-05-20,14,AT07,Major,55,1,55
A000052,C-MNC-002-003,2026-05-11,9,AT04,Major,7,1,7
A000053,C-MTL-003-002,2026-05-30,15,AT13,Minor,5,1,5
A000054,C-MTL-003-003,2026-05-27,6,AT13,Minor,89,1,89
A000055,C-VAN-004-001,2026-05-31,19,AT15,Minor,95,1,95
A000056,C-VAN-004-001,2026-05-26,16,AT15,Minor,42,1,42
A000057,C-VAN-004-001,2026-05-08,14,AT14,Minor,11,1,11
A000058,C-VAN-004-002,2026-05-14,22,AT03,Major,12,1,12
A000059,C-VAN-004-003,2026-05-22,20,AT13,Minor,18,1,18
A000060,C-VAN-004-003,2026-05-13,13,AT15,Minor,18,1,18
A000061,C-VAN-004-003,2026-05-12,12,AT13,Minor,23,1,23
A000062,C-CHA-002-001,2026-05-10,11,AT10,Major,193,1,193
A000063,C-CHA-002-002,2026-05-20,19,AT05,Major,119,1,119
A000064,C-CHA-002-003,2026-05-24,8,AT14,Minor,5,1,5
A000065,C-CHA-002-003,2026-05-20,3,AT03,Major,59,1,59
A000066,C-LDN-008-001,2026-05-29,11,AT15,Minor,72,1,72
A000067,C-LDN-008-001,2026-05-08,11,AT10,Major,54,1,54
A000068,C-LDN-008-002,2026-05-20,18,AT05,Major,52,1,52
A000069,C-LDN-008-003,2026-05-15,11,AT07,Major,5,1,5
A000070,C-LDN-008-003,2026-05-20,4,AT05,Major,190,1,190
A000071,C-MTL-004-002,2026-05-25,12,AT15,Minor,202,1,202
A000072,C-MTL-005-001,2026-05-08,4,AT07,Major,10,1,10
A000073,C-MTL-005-003,2026-05-07,7,AT03,Major,23,1,23
A000074,C-MTL-005-003,2026-05-08,19,AT14,Minor,67,1,67
A000075,C-MTL-005-003,2026-05-26,2,AT04,Major,42,1,42
A000076,C-MTL-005-003,2026-05-28,4,AT03,Major,27,1,27
A000077,C-MTL-005-003,2026-05-14,3,AT14,Minor,5,1,5
A000078,C-TOR-009-001,2026-05-25,6,AT05,Major,14,1,14
A000079,C-TOR-009-001,2026-05-21,7,AT03,Major,65,1,65
A000080,C-TOR-009-002,2026-05-24,0,AT04,Major,145,1,145
