date_key,hour,cell_id,availability_pct,throughput_dl_mbps,throughput_ul_mbps,latency_ms,prb_utilization_pct,attached_users,drop_rate_pct
2026-05-04,0,C-VAN-N-002,99.48,131.79,32.6,38.64,35.86,154,0.303
2026-05-04,1,C-VAN-N-002,99.87,148.32,31.94,37.8,30.5,129,0.276
2026-05-04,2,C-VAN-N-002,99.09,148.23,30.2,38.24,26.32,89,0.657
2026-05-04,3,C-VAN-N-002,99.7,141.44,32.92,37.14,37.25,141,0.326
2026-05-04,4,C-VAN-N-002,99.51,143.71,29.32,35.93,44.1,216,0.611
2026-05-04,5,C-VAN-N-002,98.44,144.01,31.36,40.67,40.87,247,0.533
2026-05-04,6,C-VAN-N-002,98.61,142.45,30.52,38.14,52.56,206,0.28
2026-05-04,7,C-VAN-N-002,98.59,142.56,33.19,35.14,62.68,294,0.638
2026-05-04,8,C-VAN-N-002,98.94,135.15,30.78,38.97,54.65,268,0.234
2026-05-04,9,C-VAN-N-002,98.41,142.13,28.76,35.85,68.62,321,0.355
2026-05-04,10,C-VAN-N-002,98.96,144.38,30.25,35.25,72.69,304,0.445
2026-05-04,11,C-VAN-N-002,98.83,151.24,33.11,37.44,66.08,343,0.385
2026-05-04,12,C-VAN-N-002,98.78,141.18,31.39,31.5,77.18,336,0.421
2026-05-04,13,C-VAN-N-002,98.21,132.78,33.11,35.14,70.04,342,0.403
2026-05-04,14,C-VAN-N-002,98.09,135.12,31.77,34.55,72.85,266,0.209
2026-05-04,15,C-VAN-N-002,98.93,139.86,33.37,39.01,60.19,324,0.547
2026-05-04,16,C-VAN-N-002,99.58,141.03,31.33,38.35,66.77,280,0.184
2026-05-04,17,C-VAN-N-002,98.26,124.66,31.01,40.2,58.45,223,0.375
2026-05-04,18,C-VAN-N-002,99.04,128.68,33.14,36.09,52.67,204,0.563
2026-05-04,19,C-VAN-N-002,98.48,145.77,30.4,36.73,44.89,213,0.391
2026-05-04,20,C-VAN-N-002,100.07,138.36,31.24,37.31,31.83,166,0.387
2026-05-04,21,C-VAN-N-002,99.34,126.74,32.58,38.21,36.68,141,0.336
2026-05-04,22,C-VAN-N-002,99.37,143.25,32.33,37.96,32.99,165,0.513
2026-05-04,23,C-VAN-N-002,99.46,138.26,29.52,37.4,33.97,117,0.759
2026-05-05,0,C-VAN-N-002,98.46,135.72,31.98,38.25,35.97,187,0.517
2026-05-05,1,C-VAN-N-002,97.71,133.39,32.5,38.36,29.71,155,0.535
2026-05-05,2,C-VAN-N-002,98.99,131.05,32.12,36.28,37.18,158,0.421
2026-05-05,3,C-VAN-N-002,98.72,141.87,31.97,37.03,28.16,163,0.099
2026-05-05,4,C-VAN-N-002,99.15,132.34,31.11,41.61,51.2,166,0.434
2026-05-05,5,C-VAN-N-002,98.46,146.94,33.06,38.82,38.69,232,0.174
2026-05-05,6,C-VAN-N-002,98.14,134.08,32.82,36.03,60.17,188,0.0
2026-05-05,7,C-VAN-N-002,98.36,130.18,33.84,37.03,63.37,297,0.19
2026-05-05,8,C-VAN-N-002,98.36,126.3,29.88,39.69,63.11,275,0.33
2026-05-05,9,C-VAN-N-002,98.48,142.93,31.52,34.18,62.42,300,0.405
2026-05-05,10,C-VAN-N-002,99.09,127.58,32.39,43.28,67.29,310,0.18
2026-05-05,11,C-VAN-N-002,97.76,139.5,31.52,37.74,71.5,303,0.366
2026-05-05,12,C-VAN-N-002,99.33,127.56,32.36,37.42,69.64,369,0.41
2026-05-05,13,C-VAN-N-002,99.04,143.17,30.16,35.7,69.36,321,0.219
2026-05-05,14,C-VAN-N-002,99.67,136.15,31.71,39.35,68.98,343,0.027
2026-05-05,15,C-VAN-N-002,98.65,139.02,27.83,38.4,68.99,295,0.138
2026-05-05,16,C-VAN-N-002,99.04,143.83,32.1,35.11,65.22,291,0.452
2026-05-05,17,C-VAN-N-002,97.63,135.27,33.31,39.29,59.24,276,0.436
2026-05-05,18,C-VAN-N-002,99.46,142.09,30.82,37.65,46.41,215,0.417
2026-05-05,19,C-VAN-N-002,98.97,135.07,32.09,37.93,46.27,178,0.319
2026-05-05,20,C-VAN-N-002,99.2,133.73,31.57,39.5,35.29,208,0.131
2026-05-05,21,C-VAN-N-002,98.92,135.26,32.02,39.7,40.35,210,0.177
