date_key,cell_id,voice_minutes,data_gb,sms_count
2026-05-04,C-VAN-N-002,1904.8,431.89,705
2026-05-05,C-VAN-N-002,1708.1,400.71,784
2026-05-06,C-VAN-N-002,1833.3,318.92,771
2026-05-07,C-VAN-N-002,1700.2,371.34,772
2026-05-08,C-VAN-N-002,1700.5,407.32,666
2026-05-09,C-VAN-N-002,1288.9,402.4,577
2026-05-10,C-VAN-N-002,1036.5,406.39,546
2026-05-11,C-VAN-N-002,1813.3,335.76,582
2026-05-12,C-VAN-N-002,1479.2,319.9,675
2026-05-13,C-VAN-N-002,1730.1,393.73,747
2026-05-14,C-VAN-N-002,1759.2,343.44,686
2026-05-15,C-VAN-N-002,1708.5,409.9,710
2026-05-16,C-VAN-N-002,1156.2,365.37,547
2026-05-17,C-VAN-N-002,1083.1,414.89,738
2026-05-18,C-VAN-N-002,1653.0,338.36,744
2026-05-19,C-VAN-N-002,1952.2,313.56,668
2026-05-20,C-VAN-N-002,1885.6,432.57,597
2026-05-21,C-VAN-N-002,1786.6,327.47,745
2026-05-22,C-VAN-N-002,1469.5,362.19,726
2026-05-23,C-VAN-N-002,1206.7,494.86,633
2026-05-24,C-VAN-N-002,1254.5,375.6,715
2026-05-25,C-VAN-N-002,1472.0,403.14,615
2026-05-26,C-VAN-N-002,1459.6,397.31,737
2026-05-27,C-VAN-N-002,1603.0,420.64,667
2026-05-28,C-VAN-N-002,1615.4,390.17,529
2026-05-29,C-VAN-N-002,1714.3,343.5,649
2026-05-30,C-VAN-N-002,1360.8,460.78,577
2026-05-31,C-VAN-N-002,1251.3,362.07,613
2026-05-04,C-VAN-001-002,819.1,410.68,1312
2026-05-05,C-VAN-001-002,718.8,407.99,1258
2026-05-06,C-VAN-001-002,716.8,363.13,1110
2026-05-07,C-VAN-001-002,759.2,455.99,1223
2026-05-08,C-VAN-001-002,877.5,369.63,1373
2026-05-09,C-VAN-001-002,485.0,441.64,1193
2026-05-10,C-VAN-001-002,479.6,518.41,1030
2026-05-11,C-VAN-001-002,793.3,360.41,1085
2026-05-12,C-VAN-001-002,865.8,404.59,1386
2026-05-13,C-VAN-001-002,750.8,472.46,1448
2026-05-14,C-VAN-001-002,920.4,411.48,1120
2026-05-15,C-VAN-001-002,702.4,380.06,1113
2026-05-16,C-VAN-001-002,583.1,557.41,988
2026-05-17,C-VAN-001-002,488.5,423.84,1042
2026-05-18,C-VAN-001-002,766.6,425.09,1006
2026-05-19,C-VAN-001-002,797.2,471.81,1296
2026-05-20,C-VAN-001-002,825.3,398.33,1283
2026-05-21,C-VAN-001-002,784.6,402.3,1423
2026-05-22,C-VAN-001-002,733.8,440.37,1154
2026-05-23,C-VAN-001-002,615.7,495.98,1394
2026-05-24,C-VAN-001-002,519.7,486.01,974
2026-05-25,C-VAN-001-002,861.8,365.28,1229
2026-05-26,C-VAN-001-002,867.5,417.21,1163
2026-05-27,C-VAN-001-002,754.3,407.45,1133
2026-05-28,C-VAN-001-002,817.3,354.23,1137
2026-05-29,C-VAN-001-002,840.8,421.85,1121
2026-05-30,C-VAN-001-002,527.7,498.49,1265
2026-05-31,C-VAN-001-002,483.1,424.83,1265
2026-05-04,C-VAN-001-003,1583.4,351.25,536
